all_day,calendar_category_id,category,description,end_date,event_id,location,start_date,state,summary,url
True,27,Pre and Post-Elections,Louisiana general Post-Runoff Report due (if runoff held),,7751,Louisiana,2025-01-06,,LA Post-Runoff Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-louisiana/
True,27,Pre and Post-Elections,Georgia general Post-Runoff Report due (if runoff held),,7802,Georgia,2025-01-02,,GA Post-Runoff Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-general-georgia/
True,27,Pre and Post-Elections,Virgin Islands general Post-Runoff Report due (if runoff held),,7796,Virgin Islands,2024-12-19,,VI Post-Runoff Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2022-reporting-dates/prior-notices-2022/election-report-notice-general-virgin-islands/
True,27,Pre and Post-Elections,Guam general Post-Runoff Report due (if runoff held),,7795,Guam,2024-12-19,,GU Post-Runoff Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-general-guam/
False,32,Open Meetings,Public meeting of the Commission,,7518,FEC Hearing Room,2024-12-12T10:00:00-05:00,,Open Meeting,https://www.fec.gov/updates/december-12-2024-open-meeting/
True,39,Executive Sessions,Closed Commission meeting for consideration of enforcement matters and other items required to be kept confidential,,7507,,2024-12-10,,Executive Session,https://www.fec.gov/updates/december-10-2024-executive-session/
True,36,Election Dates,Congressional general runoff election held in Louisiana (if necessary),,7851,Louisiana,2024-12-07,,LA General Runoff (C),
True,27,Pre and Post-Elections,California Senate Special Post-General Report due,,7465,California,2024-12-05,,CA/Senate Special Post-General Report due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2023-reporting-dates/special-election-report-notice-casen/
True,27,Pre and Post-Elections,The 30-day Post-General Report due,,7446,FEC,2024-12-05,,30G Post-General Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/pre-and-post-general-reports-2024/
True,27,Pre and Post-Elections,Wisconsin's 8th Congressional District Special Post-General Report due,,8024,Wisconsin,2024-12-05,,WI/08 Special Post-General Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/special-election-report-notice-wi08/
True,27,Pre and Post-Elections,Special Post-General Report for TX/18 due (if no special runoff held),,8061,Texas,2024-12-05,,TX/18 Special Post-General Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/special-election-report-notice-tx18/
True,36,Election Dates,Congressional general runoff election held in Georgia (if necessary),,7800,Georgia,2024-12-03,,GA General Runoff (C),
True,27,Pre and Post-Elections,Louisiana general Pre-Runoff Report due (if runoff is held),,7750,Louisiana,2024-11-25,,LA Pre-Runoff Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-louisiana/
True,27,Pre and Post-Elections,Georgia general Pre-Runoff Report due (if runoff held),,7801,Georgia,2024-11-21,,GA Pre-Runoff Report Due,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/prior-notices-2024/election-report-notice-general-georgia/
True,36,Election Dates,Congressional general runoff election held in Virgin Islands (if necessary),,7799,Virgin Islands,2024-11-19,,VI General Runoff (C),
True,36,Election Dates,Congressional general runoff election held in Guam  (if necessary),,7798,Guam,2024-11-19,,GU General Runoff (C),
True,29,IE Periods,24-Hour Report period of independent expenditures begins for the Louisiana congressional general runoff election (if runoff held). Ends on December 5.,,7678,Louisiana,2024-11-18,,24-Hour IE Report Period Begins,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2024-reporting-dates/24-and-48-hour-reports-independent-expenditures-periods-congressional-primaries-2024/
False,32,Open Meetings,Public meeting of the Commission,,7517,FEC Hearing Room,2024-11-14T10:00:00-05:00,,Open Meeting,https://www.fec.gov/updates/november-14-2024-open-meeting/
