election_year,total_cash_on_hand_end_period,total_debts_owed_by_committee,total_disbursements,total_individual_itemized_contributions,total_other_political_committee_contributions,total_receipts,total_transfers_from_other_authorized_committee
2052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,109830009.86,8902221.19,89535136.08,35425158.62,6599601.74,84330484.09,4869850.21
2026,102746341.11,3083825.52,97154611.68,55546308.69,16928617.84,132261830.94,16703308.29
2024,2659606358.75,432928853.19,2820953189.42,1507629273.27,367335450.86,4088183846.04,1004702312.56
2022,535837222.55,304143327.21,3745301157.48,1789509216.44,483903906.44,3808600081.7,215672360.35
2020,567310104.48,163425917.59,7895380926.34,2983602858.54,499658479.37,8174551612.99,814273556.72
2018,374777734.18,82273063.86,2785526696.58,1316410100.2,513155578.09,2871955730.7,150974475.44
2016,355659619.0,96476120.3,3214015260.97,1505641147.41,485453658.2,3299143814.37,378732436.75
2014,255312861.8,95723526.38,1711950677.44,857813379.91,475872771.39,1767763103.87,76281879.29
2012,225476165.07,120165597.32,3350477113.33,1535110780.77,457853959.45,3346704085.17,384063256.72
2010,253002611.47,112259952.34,1924666161.04,933769537.7,444782678.73,1971528150.26,62744566.79
2008,287375567.91,104103097.6,3252046743.16,1301859950.82,425512324.03,3349749452.15,210109166.1
2006,220708471.69,85689074.3,1501933384.99,658844249.69,379964565.8,1534973940.61,30971530.28
2004,264918305.57,103432486.48,2118672706.34,362047567.7,321814904.97,2224116802.15,61878134.97
2002,162053709.05,118064271.08,1006601925.26,208333547.44,292713238.33,1046433273.85,21686582.17
2000,171700368.28,95155802.66,1672835504.63,660500.33,260176149.39,1734921164.09,33912758.65
1998,121589439.0,93141988.0,777087646.0,0.0,216666905.0,827069063.0,17480513.0
1996,91872600.0,141009765.0,1272117447.15,0.0,206388612.92,1289755258.54,32642747.0
1994,64506601.0,93650699.0,755622553.0,0.0,186984747.0,771735538.0,11595772.0
1992,81260895.0,93274693.0,1072888812.0,0.0,194154787.0,1067403586.0,22006706.0
1990,94908199.0,36926284.0,467832065.0,0.0,151634965.0,495693222.0,10755247.0
1988,82368532.0,42750689.0,866452503.0,0.0,156687321.0,897713281.0,16067242.0
1986,58340938.0,38352195.0,443515664.0,0.0,125178142.0,466722649.0,14232684.0
1984,45224046.0,44496958.0,614240051.0,0.0,1636883.0,641499920.0,8549684.0
1982,0.0,0.0,313626853.0,0.0,0.0,323135741.0,0.0
1980,0.0,0.0,412721756.0,0.0,88052885.0,411751033.0,3644719.0
1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
