action_code,action_code_full,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_district,candidate_office_full,candidate_office_state,committee_id,committee_name,communication_class,communication_type,communication_type_full,cycle,file_number,form_type_code,image_number,original_sub_id,pdf_url,primary_general_indicator,primary_general_indicator_description,purpose,report_type,report_year,schedule_type,schedule_type_full,state_full,sub_id,support_oppose_indicator,tran_id,transaction_amount,transaction_date,transaction_type
A,ADD,JOSH,H8CA10126,HARDER,,"HARDER, JOSH",,10,,CA,C70001722,"CALIFORNIA LABOR FEDERATION, AFL-CIO",M,DM,,2018,1314997.0,F7,201902050300265185,,https://docquery.fec.gov/pdf/185/201902050300265185/201902050300265185.pdf,G,GENERAL,MEMBERS,YE,2018,F76,FOR EACH COMMUNICATION,CALIFORNIA,2022820191644683578,S,F76020719518521,26.16,2018-10-23,24F
A,ADD,KATIE,H8CA25074,HILL,,"HILL, KATIE",H,25,HOUSE,CA,C70003223,"LOS ANGELES COUNTY FEDERATION OF LABOR, AFL-CIO",M,DM,,2018,1315591.0,F7,201902010300263025,,https://docquery.fec.gov/pdf/025/201902010300263025/201902010300263025.pdf,G,GENERAL,MEMBERS,YE,2018,F76,FOR EACH COMMUNICATION,CALIFORNIA,2022820191644683691,S,F7602121930252,13860.0,2018-11-06,24F
N,NO CHANGE,,H2IL08039,,,,,,,,C70000187,CHICAGO JOURNEYMEN PLUMBERS LOCAL 130 VA AFL-CIO,,,,2004,,F7,24038381665,,https://docquery.fec.gov/pdf/665/24038381665/24038381665.pdf,P,PRIMARY,,Q1,2004,F76,FOR EACH COMMUNICATION,,2050720041038195454,,,37.0,2004-03-09,24F
N,NO CHANGE,,H2IL05092,,,,,,,,C70000187,CHICAGO JOURNEYMEN PLUMBERS LOCAL 130 VA AFL-CIO,,,,2004,,F7,24038381665,,https://docquery.fec.gov/pdf/665/24038381665/24038381665.pdf,P,PRIMARY,,Q1,2004,F76,FOR EACH COMMUNICATION,,2050720041038195455,,,37.0,2004-03-09,24F
N,NO CHANGE,,P40002214,,,,,,,,C70003793,SEIU MI STATE COUNCIL,,,,2004,,F7,24038381744,,https://docquery.fec.gov/pdf/744/24038381744/24038381744.pdf,P,PRIMARY,,Q1,2004,F76,FOR EACH COMMUNICATION,,2050720041038195481,,,64248.0,2004-01-25,24F
A,ADD,,P80002801,,,"MCCAIN,",P,,PRESIDENT,,C70000112,AFL-CIO ,M,TP,,2008,342778.0,F7,28039690343,,https://docquery.fec.gov/pdf/343/28039690343/28039690343.pdf,P,PRIMARY,MEMBERS,Q1,2008,F76,FOR EACH COMMUNICATION,,2060620081090409042,O,F76053012090837,292.0,2008-03-25,24N
A,ADD,,P80002801,,,"MCCAIN,",P,,PRESIDENT,,C70000112,AFL-CIO ,M,O,FLYER,2008,342778.0,F7,28039690344,,https://docquery.fec.gov/pdf/344/28039690344/28039690344.pdf,P,PRIMARY,MEMBERS,Q1,2008,F76,FOR EACH COMMUNICATION,,2060620081090409054,O,F76053012090849,288.0,2008-03-26,24N
A,ADD,,P80002801,,,"MCCAIN,",P,,PRESIDENT,,C70000112,AFL-CIO ,M,TP,,2008,342778.0,F7,28039690344,,https://docquery.fec.gov/pdf/344/28039690344/28039690344.pdf,P,PRIMARY,MEMBERS,Q1,2008,F76,FOR EACH COMMUNICATION,,2060620081090409055,O,F76053012090850,291.0,2008-03-26,24N
A,ADD,,P00003392,,,"CLINTON, HILLARY",P,,PRESIDENT,NV,C70001516,NATIONAL ASSOCIATION OF LETTER CARRIERS,M,O,CANVASSING COST,2008,342786.0,F7,28039694691,,https://docquery.fec.gov/pdf/691/28039694691/28039694691.pdf,P,PRIMARY,MEMBERS,Q1,2008,F76,FOR EACH COMMUNICATION,NEVADA,2060620081090409302,S,F76053012100812,3030.0,2008-01-19,24F
A,ADD,,P00003392,,,"CLINTON, HILLARY",P,,PRESIDENT,NV,C70001516,NATIONAL ASSOCIATION OF LETTER CARRIERS,M,O,EMAIL,2008,342786.0,F7,28039694691,,https://docquery.fec.gov/pdf/691/28039694691/28039694691.pdf,P,PRIMARY,MEMBERS,Q1,2008,F76,FOR EACH COMMUNICATION,NEVADA,2060620081090409303,S,F76053012100813,5.0,2008-01-15,24F
A,ADD,,P00003392,,,"CLINTON, HILLARY",P,,PRESIDENT,GA,C70001516,NATIONAL ASSOCIATION OF LETTER CARRIERS,M,O,CANVASSING COST,2008,342786.0,F7,28039694692,,https://docquery.fec.gov/pdf/692/28039694692/28039694692.pdf,P,PRIMARY,MEMBERS,Q1,2008,F76,FOR EACH COMMUNICATION,GEORGIA,2060620081090409310,S,F76053012100820,2370.0,2008-02-06,24F
A,ADD,,P00003392,,,"CLINTON, HILLARY",P,,PRESIDENT,AR,C70001516,NATIONAL ASSOCIATION OF LETTER CARRIERS,M,O,EMAIL,2008,342786.0,F7,28039694692,,https://docquery.fec.gov/pdf/692/28039694692/28039694692.pdf,P,PRIMARY,MEMBERS,Q1,2008,F76,FOR EACH COMMUNICATION,ARKANSAS,2060620081090409318,S,F76053012100828,5.0,2008-02-01,24F
A,ADD,,P00003392,,,"CLINTON, HILLARY",P,,PRESIDENT,ND,C70001516,NATIONAL ASSOCIATION OF LETTER CARRIERS,M,O,EMAIL,2008,342786.0,F7,28039694693,,https://docquery.fec.gov/pdf/693/28039694693/28039694693.pdf,P,PRIMARY,MEMBERS,Q1,2008,F76,FOR EACH COMMUNICATION,NORTH DAKOTA,2060620081090409332,S,F76053012100842,5.0,2008-02-01,24F
A,ADD,,P00003392,,,"CLINTON, HILLARY",P,,PRESIDENT,OK,C70001516,NATIONAL ASSOCIATION OF LETTER CARRIERS,M,O,EMAIL,2008,342786.0,F7,28039694693,,https://docquery.fec.gov/pdf/693/28039694693/28039694693.pdf,P,PRIMARY,MEMBERS,Q1,2008,F76,FOR EACH COMMUNICATION,OKLAHOMA,2060620081090409333,S,F76053012100843,5.0,2008-02-01,24F
A,ADD,,P00003392,,,"CLINTON, HILLARY",P,,PRESIDENT,VT,C70001516,NATIONAL ASSOCIATION OF LETTER CARRIERS,M,TP,,2008,342786.0,F7,28039694695,,https://docquery.fec.gov/pdf/695/28039694695/28039694695.pdf,P,PRIMARY,MEMBERS,Q1,2008,F76,FOR EACH COMMUNICATION,VERMONT,2060620081090409359,S,F76053012100869,2.0,2008-03-03,24F
A,ADD,,P00003392,,,"CLINTON, HILLARY",P,,PRESIDENT,VA,C70001516,NATIONAL ASSOCIATION OF LETTER CARRIERS,M,TP,,2008,342786.0,F7,28039694695,,https://docquery.fec.gov/pdf/695/28039694695/28039694695.pdf,P,PRIMARY,MEMBERS,Q1,2008,F76,FOR EACH COMMUNICATION,VIRGINIA ,2060620081090409361,S,F76053012100871,37.0,2008-02-07,24F
