candidate_id,candidate_name,committee_id,committee_name,count,cycle,support_oppose_indicator,total
H0FL04066,"CRENSHAW, ANDER HON.",C70001243,NATIONAL FEDERATION OF INDEPENDENT BUSINESS,1,2012,S,288.78
H4CA11081,"MCNERNEY, GERALD MARK",C70006200,AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES - CA PEOPLE (AFSCME CA PEOPLE),1,2018,S,100.0
H6PA10109,"CARNEY, CHRISTOPHER",C70000112,AFL-CIO COPE POLITICAL CONTRIBUTIONS COMMITTEE,29,2008,S,11557.0
H8NY21203,"TONKO, PAUL DAVID",C70004163,CIVIL SERVICE EMPLOYEES POLITICAL ACTION FUND,4,2012,S,2739.42
H0AL07060,"DAVIS, ARTUR GENESTRE",C70000716,NATIONAL RIFLE ASSOCIATION (INSTITUTE FOR LEGISLATIVE ACTION),2,2002,O,867.0
H4MA03022,"MCGOVERN, JAMES P",C70002373,MASSACHUSETTS TEACHERS ASSOCIATION,1,2004,,259.0
H6MI15127,"KILPATRICK, CAROLYN MS.",C70001516,NATIONAL ASSOCIATION OF LETTER CARRIERS,6,2008,S,7124.0
H6AR03029,"HAMMERSCHMIDT, JOHN PAUL",C70002605,NATIONAL COMMITTEE TO PRESERVE SOCIAL SECURITY AND MEDICARE,1,1990,S,186.0
H6IL07024,"COLLINS, CARDISS",C70001516,COMMITTEE ON LETTER CARRIER POLITICAL EDUCATION,1,1984,S,192.0
H6OH15039,"WYLIE, CHALMERS P",C70000872,NATIONAL CHAMBER ALLIANCE FOR POLITICS OF THE CHAMBER OF COMMERCE FOR THE USA,3,1990,S,337.0
H4FL15114,"WELDON, DAVID J",C70000716,NATIONAL RIFLE ASSOCIATION (INSTITUTE FOR LEGISLATIVE ACTION),1,2000,S,3333.0
S6RI00221,"WHITEHOUSE, SHELDON II",C70003645,UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION,1,2006,,1069.0
H0TN08246,"FINCHER, STEVE",C70001243,NATIONAL FEDERATION OF INDEPENDENT BUSINESS,1,2012,S,544.1
H6IA02120,"SMITH, DONNA L",C70000112,AFL-CIO COPE POLITICAL CONTRIBUTIONS COMMITTEE,2,1996,S,4088.0
H0MO00019,"CARNAHAN, RUSS",C70000492,NATIONAL EDUCATION ASSOCIATION,3,2010,S,7130.37
H2NJ02037,"LOBIONDO, FRANK A",C70000112,AFL-CIO COPE POLITICAL CONTRIBUTIONS COMMITTEE,1,1994,S,1887.0
S8NM00184,"UDALL, TOM",C70001516,NATIONAL ASSOCIATION OF LETTER CARRIERS,6,2008,S,16418.0
H6CA32025,"ANDERSON, GLENN M",C70000716,NATIONAL RIFLE ASSOCIATION (INSTITUTE FOR LEGISLATIVE ACTION),1,1984,S,290.0
S2TX00429,"SADLER, PAUL LINDSEY",C70000112,AFL-CIO ,11,2012,S,1430.05
H8NY23019,"PEYSER, PETER A",C70001235,BROTHERHOOD OF RAILWAY AND AIRLINE CLERKS,1,1980,S,60.0
H8MN01055,"SIKORSKI, GERRY",C70001235,BROTHERHOOD OF RAILWAY AND AIRLINE CLERKS,1,1982,S,335.0
H2CA25036,"MCKEON, HOWARD P (BUCK)",C70000716,NATIONAL RIFLE ASSOCIATION (INSTITUTE FOR LEGISLATIVE ACTION),1,1994,S,2642.0
S8VA00156,"ROBB, CHARLES S",C70000112,AFL-CIO COPE POLITICAL CONTRIBUTIONS COMMITTEE,19,2000,S,41057.0
H2MA06045,"TORKILDSEN, PETER G",C70000872,NATIONAL CHAMBER ALLIANCE FOR POLITICS OF THE CHAMBER OF COMMERCE FOR THE USA,2,1996,S,368.0
H2PA06080,"HOLDEN, TIMOTHY T",C70002563,NATIONAL ASSOCIATION OF REALTORS,3,2012,S,2919.57
H8AZ03092,"LORD, ROBERT JAMES",C70001516,NATIONAL ASSOCIATION OF LETTER CARRIERS,6,2008,S,8748.0
P80000912,"GORE, AL",C70000492,NATIONAL EDUCATION ASSOCIATION,63,2000,S,2002460.0
H6FL09138,"BUSANSKY, PHYLLIS H",C70000112,AFL-CIO COPE POLITICAL CONTRIBUTIONS COMMITTEE,2,2006,,862.0
H2NY25017,"BOEHLERT, SHERWOOD L",C70002969,NATIONAL FEDERATION OF INDEPENDENT BUSINESS SAVE AMERICA'S FREE ENTERPRISE TRUST,2,2002,S,300.0
H8CA22089,"CAPPS, LOIS",C70003108,INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS,1,1998,S,105.0
H0MD01125,"BOZMAN, KENNETH BENNETT",C70003538,MARYLAND STATE TEACHERS ASSN,2,2000,S,2700.0
