candidate_id,cycle,support_oppose_indicator,total
H0CA05016,,S,1710.0
H0CA11022,,O,4.0
H0CA11022,,S,346.0
H0CA15148,,O,2670.0
H0CA15148,,S,54577.0
H0CA36052,,S,446.0
H0CA41029,,S,522.0
H0CA45012,,S,317.0
H0CO04015,,S,61.0
H0CT01027,,S,2000.0
H0CT02017,,S,46594.0
H0GA02076,,S,111.0
H0IA02156,,24F,191.7
H0ID01022,,S,1016.0
H0IL10120,,S,631.0
H0IL16085,,S,301.0
H0IL16101,,S,4371.0
H0IN05219,,24F,186.34
H0KY05023,,S,2.0
H0LA02119,,S,133.0
H0MA03012,,S,30.0
H0MI01153,,S,90.72
H0MI03027,,S,22.0
H0MI06020,,S,423.0
H0MN06028,,S,3237.0
H0MO02254,,24F,195.1
H0MS04047,,S,225.0
H0NC11019,,S,268.0
H0NH02033,,S,701.0
H0NJ02171,,24F,194.11
H0NY05021,,S,2025.0
H0NY08033,,S,252.0
H0NY17034,,S,856.0
H0NY18032,,S,183.0
H0NY30011,,S,3019.0
H0OH12013,,S,3528.0
H0OH21014,,O,144.0
H0OH22053,,S,22.0
H0PA07132,,24N,1228.92
H0PA14021,,S,31.0
H0PA14039,,O,566.0
H0PA14039,,S,290.0
H0PA15044,,S,-29.0
H0SC01014,,S,3652.0
H0SD02019,,S,1497.0
H0TX02106,,24F,191.39
H0TX22021,,S,25292.0
H0VA03025,,S,329.0
H0VA07042,,S,17316.0
H2AZ03020,,S,18.0
H2AZ04036,,S,27.0
H2AZ05017,,S,16287.0
H2CA04122,,24F,170.96
H2CA11051,,S,340.0
H2CA36090,,,48.0
H2CA51016,,S,749.0
H2CO06040,,S,460.0
H2FL03056,,S,2805.0
H2FL04021,,S,71.0
H2IL14037,,S,217.0
H2IL18012,,S,23.0
H2IL19010,,S,14547.0
H2IL21016,,S,99.0
H2MI17023,,S,351.0
H2MS05016,,O,877.0
H2NC05074,,,25289.0
H2NC09043,,S,5011.0
H2ND00081,,,-25.0
H2NV01033,,S,4719.0
H2NV01124,,,92.0
H2NY02057,,S,23.0
H2NY03014,,S,15928.0
H2NY03188,,24F,59.2
H2NY05019,,S,31.0
H2NY24036,,S,463.0
H2NY25017,,S,126.0
H2NY30041,,S,30.0
H2OH17158,,,-10.0
H2OH19097,,S,11.0
H2OK01010,,S,1945.0
H2OR02016,,S,388.0
H2OR03022,,S,76.0
H2OR05043,,S,8012.0
H2PA04093,,S,34014.0
H2PA09050,,,1124.0
H2SC04022,,S,1296.0
H2SC05029,,S,219.0
H2TX05014,,S,1609.0
H2TX26119,,,698.0
H2UT02043,,S,271.0
H2UT03058,,S,366.0
H2VA11081,,S,10.0
H4AZ01046,,S,18.0
H4CA48042,,S,368.85
H4CO03084,,S,414.0
H4CT05053,,S,32807.0
H4FL09083,,S,1565.85
H4FL15114,,S,830.0
H4GA07259,,S,330.0
H4IA05102,,S,4158.0
