cycle,district,office,state
2016,00,P,US
2024,00,P,US
2040,00,P,US
2012,00,P,US
1992,00,P,US
2048,00,P,US
2036,00,P,US
2044,00,P,US
1976,00,P,US
2000,00,P,US
2060,00,P,US
2008,00,P,US
1980,00,P,US
2028,00,P,US
1996,00,P,US
2032,00,P,US
2020,00,P,US
2052,00,P,US
2004,00,P,US
1984,00,P,US
1972,00,P,US
1988,00,P,US
2056,00,P,US
1982,00,S,MS
1984,00,S,MS
1994,00,S,ND
1998,00,S,ND
1988,00,S,ND
2060,00,S,MO
1978,00,S,MS
1980,00,S,ND
2058,00,S,NC
1982,00,S,ND
2046,00,S,NC
2038,00,S,NC
2050,00,S,NC
1986,00,S,ND
2004,00,S,ND
2010,00,S,NC
2060,00,S,MT
1984,00,S,NC
2014,00,S,NC
2044,00,S,MT
1978,00,S,NC
1992,00,S,NC
2004,00,S,NC
2022,00,S,NC
2034,00,S,NC
2040,00,S,NC
2044,00,S,NC
2052,00,S,NC
2056,00,S,NC
1974,00,S,ND
1976,00,S,ND
1998,00,S,NC
2052,00,S,MO
2048,00,S,MO
2046,00,S,MO
2054,00,S,MO
2058,00,S,MO
1972,00,S,MS
1976,00,S,MS
2036,00,S,MT
2048,00,S,MT
2024,00,S,MT
2014,00,S,MT
2026,00,S,MT
2050,00,S,MT
2016,00,S,NC
1988,00,S,MT
1972,00,S,MT
1978,00,S,MT
1996,00,S,MT
2054,00,S,MS
2050,00,S,MS
1976,00,S,MT
1982,00,S,MT
1984,00,S,MT
2008,00,S,MT
2012,00,S,MT
2018,00,S,MT
2020,00,S,MT
2030,00,S,MT
2032,00,S,MT
2038,00,S,MT
2042,00,S,MT
2054,00,S,MT
2056,00,S,MT
1972,00,S,NC
1974,00,S,NC
1986,00,S,NC
1990,00,S,NC
1996,00,S,NC
2002,00,S,NC
2040,00,S,MO
1988,00,S,MS
2026,00,S,NC
2032,00,S,NC
1998,00,S,AZ
2056,00,S,MS
