additional_bank_names,amendment_chain,amendment_indicator,amendment_version,bank_depository_city,bank_depository_name,bank_depository_state,bank_depository_street_1,bank_depository_street_2,bank_depository_zip,beginning_image_number,candidate_id,candidate_name,cash_on_hand_beginning_period,cash_on_hand_end_period,committee_id,committee_name,committee_type,coverage_end_date,coverage_start_date,csv_url,cycle,debts_owed_by_committee,debts_owed_to_committee,document_description,document_type,document_type_full,election_year,ending_image_number,fec_file_id,fec_url,file_number,form_category,form_type,house_personal_funds,html_url,is_amended,means_filed,most_recent,most_recent_file_number,net_donations,office,opposition_personal_funds,pages,party,pdf_url,previous_file_number,primary_general_indicator,receipt_date,report_type,report_type_full,report_year,request_type,senate_personal_funds,state,sub_id,total_communication_cost,total_disbursements,total_independent_expenditures,total_individual_contributions,total_receipts,treasurer_name,update_date
,,A,,,,,,,,13031062787,,,0.0,5153.5,C00541474,COMMITTEE TO ELECT SHAWN PINKSTON,H,2013-03-07,2013-01-28,https://docquery.fec.gov/csv/970/948970.csv,2014,0.0,0.0,PRE-SPECIAL 2013,,,,13031062791,FEC-948970,https://docquery.fec.gov/paper/posted/948970.fec,948970.0,REPORT,F3,,https://docquery.fec.gov/cgi-bin/paper_forms/C00541474/948970/,,paper,False,,,H,,5.0,,https://docquery.fec.gov/pdf/787/13031062787/13031062787.pdf,,P,,12S,PRE-SPECIAL,2013,,,,1050120130013867828,,12297.5,,,17450.0,"PINKSTON, SHAWN",2016-11-02
,,A,,,,,,,,10030483207,,,366.41,221.19,C00461426,ANGELS FOR JOHN GAY,H,2010-09-30,2010-07-01,https://docquery.fec.gov/csv/895/718895.csv,2010,2250.0,0.0,OCTOBER QUARTERLY 2010,,,,,FEC-718895,https://docquery.fec.gov/paper/posted/718895.fec,718895.0,REPORT,F3,,https://docquery.fec.gov/cgi-bin/paper_forms/C00461426/718895/,,paper,False,,,H,,,,https://docquery.fec.gov/pdf/207/10030483207/10030483207.pdf,,P,,Q3,OCTOBER QUARTERLY,2010,,,,1110820100004848246,,145.22,,,0.0,"RUFFIN, MARY ELAINE",2016-11-02
,,N,,,,,,,,82032442559,,,,,C00067231,HUMPAC (AKA AMERICAN MEDICORP GOOD GOV'T CMTE),Q,1982-08-31,,,1982,,,SEPTEMBER MONTHLY 1982,,,,82032442564,,,,REPORT,F3X,,,,paper,True,,,,,6.0,,,,P,,M9,SEPTEMBER MONTHLY,1982,,,,3032920021022404304,,500.0,,,5.0,,2002-03-30
,,A,,,,,,,,13031062787,,,0.0,5153.5,C00541474,COMMITTEE TO ELECT SHAWN PINKSTON,H,2013-03-07,2013-01-28,https://docquery.fec.gov/csv/970/948970.csv,2014,0.0,0.0,PRE-SPECIAL 2013,,,,13031062791,FEC-948970,https://docquery.fec.gov/paper/posted/948970.fec,948970.0,REPORT,F3,,https://docquery.fec.gov/cgi-bin/paper_forms/C00541474/948970/,,paper,True,948970.0,,H,,5.0,,https://docquery.fec.gov/pdf/787/13031062787/13031062787.pdf,,P,,12S,PRE-SPECIAL,2013,,,,1050320130013879959,,12297.5,,,17450.0,"PINKSTON, SHAWN",2016-11-02
,,N,,,,,,,,11030582315,,,221.19,67.47,C00461426,ANGELS FOR JOHN GAY,H,2010-12-31,2010-10-01,https://docquery.fec.gov/csv/559/720559.csv,2010,2250.0,0.0,YEAR-END 2010,,,,,FEC-720559,https://docquery.fec.gov/paper/posted/720559.fec,720559.0,REPORT,F3,,https://docquery.fec.gov/cgi-bin/paper_forms/C00461426/720559/,,paper,False,,,H,,,,https://docquery.fec.gov/pdf/315/11030582315/11030582315.pdf,,P,,YE,YEAR-END,2010,,,,1032420110005517187,,153.72,,,0.0,"RUFFIN, MARY ELAINE",2016-11-02
,,A,,,,,,,,13031062424,,,92577.04,92568.15,C00465880,FRIENDS OF SCOTT ROBINSON,H,2013-03-31,2013-01-01,https://docquery.fec.gov/csv/444/870444.csv,2014,,,APRIL QUARTERLY 2013,,,,13031062430,FEC-870444,https://docquery.fec.gov/paper/posted/870444.fec,870444.0,REPORT,F3,,https://docquery.fec.gov/cgi-bin/paper_forms/C00465880/870444/,,paper,False,,,H,,7.0,,https://docquery.fec.gov/pdf/424/13031062424/13031062424.pdf,,P,,Q1,APRIL QUARTERLY,2013,,,,1050120130013867815,,125.0,,,116.11,"ROBINSON, SANDY WILSON",2016-11-02
,,A,,,,,,,,82012233758,,,,,C00100586,CITIZENS FOR JOHN RARIG,H,1982-04-29,,,1982,,,PRE-PRIMARY 1982,,,,82012233758,,,,REPORT,F3,,,,paper,True,,,H,,1.0,,,,P,,12P,PRE-PRIMARY,1982,,,,3032920021022070079,,,,,,,2002-03-30
,,,0.0,,,,,,,201911150300051430,,,,,C00663211,MAD DOG PAC,N,2019-06-30,2019-01-01,,2020,,,RFAI: MID-YEAR REPORT 2019,,,,201911150300051431,,,,OTHER,FRQ,,,False,paper,True,,,,,2.0,,https://docquery.fec.gov/pdf/430/201911150300051430/201911150300051430.pdf,0.0,,,MY,MID-YEAR REPORT,2019,2,,,1111520190194679953,,,,,,,2019-11-15
,,A,,,,,,,,13031062787,,,0.0,5153.5,C00541474,COMMITTEE TO ELECT SHAWN PINKSTON,H,2013-03-07,2013-01-28,https://docquery.fec.gov/csv/970/948970.csv,2014,0.0,0.0,PRE-SPECIAL 2013,,,,13031062791,FEC-948970,https://docquery.fec.gov/paper/posted/948970.fec,948970.0,REPORT,F3,,https://docquery.fec.gov/cgi-bin/paper_forms/C00541474/948970/,,paper,False,,,H,,5.0,,https://docquery.fec.gov/pdf/787/13031062787/13031062787.pdf,,P,,12S,PRE-SPECIAL,2013,,,,1050320130013879958,,12297.5,,,17450.0,"PINKSTON, SHAWN",2016-11-02
,,N,,,,,,,,82012241439,,,,,C00113662,NEW MEXICANS FOR BILL RICHARDSON,H,1982-06-30,,,1982,,,JULY QUARTERLY 1982,,,,82012241455,,,,REPORT,F3,,,,paper,True,,,H,,17.0,,,,P,,Q2,JULY QUARTERLY,1982,,,,3032920021022071170,,25930.0,,,24448.0,,2002-03-30
