candidate_id,candidate_last_name,candidate_party_affiliation,contributor_state,election_year,net_receipts,rounded_net_receipts
P00000001,All candidates,,US,2020,4021221646.4,4021.2
P00000002,Democrats,DEM,US,2020,3203812621.3,3203.8
P00000001,All candidates,,US,2008,1682430185.3,1682.4
P00000001,All candidates,,US,2016,1462314770.13,1462.3
P00000001,All candidates,,US,2012,1325404786.61,1325.4
P00014530,Bloomberg,DEM,US,2020,1096324410.77,1096.3
P00000002,Democrats,DEM,US,2008,1076667226.08,1076.7
P80000722,Biden,DEM,US,2020,1051374613.89,1051.4
P00000001,All candidates,,US,2024,1005381439.66,1005.4
P00000002,Democrats,DEM,US,2016,799419661.15,799.4
P00000003,Republicans,REP,US,2020,792600168.37,792.6
P80001571,Trump,REP,US,2020,789817267.86,789.8
P80003338,Obama,DEM,US,2008,747755875.52,747.8
P80003338,Obama,DEM,US,2012,722387456.74,722.4
P00000002,Democrats,DEM,US,2012,722387456.74,722.4
P00000003,Republicans,REP,US,2016,639144333.21,639.1
P00000003,Republicans,REP,US,2008,605762959.22,605.8
P00000003,Republicans,REP,US,2012,598244626.24,598.2
P00003392,Clinton,DEM,US,2016,563756927.19,563.8
P00000002,Democrats,DEM,US,2024,494736206.45,494.7
P00009423,Harris,DEM,US,2024,481305278.47,481.3
P00000003,Republicans,REP,US,2024,451457071.39,451.5
P80003353,Romney,REP,US,2012,449886512.55,449.9
P80002801,McCain,REP,US,2008,351511369.07,351.5
P00012716,Steyer,DEM,US,2020,345211839.22,345.2
P80001571,Trump,REP,US,2016,333127163.91,333.1
P00000001,All candidates,,CA,2020,291277565.0,291.3
P80001571,Trump,REP,US,2024,264080679.54,264.1
P60007168,Sanders,DEM,US,2016,228164500.68,228.2
P00003392,Clinton,DEM,US,2008,223866224.95,223.9
P00000002,Democrats,DEM,CA,2020,221031837.0,221.0
P60007168,Sanders,DEM,US,2020,211196611.03,211.2
P00000001,All candidates,,CA,2008,177627095.0,177.6
P00000001,All candidates,,NY,2016,171976015.0,172.0
P00000002,Democrats,DEM,NY,2016,153904479.0,153.9
P00000001,All candidates,,CA,2016,152306310.0,152.3
P00000001,All candidates,,DC,2024,151282149.0,151.3
P00000002,Democrats,DEM,DC,2024,149893602.0,149.9
