candidate_id,contribution_receipt_amount,contribution_state,election_year
P00000001,290036172.0,CA,2020
P00000002,219790445.0,CA,2020
P00000001,177627095.0,CA,2008
P00000001,152306310.0,CA,2016
P00000001,146826560.0,CA,2012
P80000722,143155969.0,CA,2020
P00000001,141400280.0,NY,2020
P00000002,133753963.0,CA,2008
P00000001,124698538.0,NY,2008
P00000002,114485560.0,CA,2016
P00000002,111435254.0,NY,2020
P00000001,109654956.0,CA,2024
P00000001,108777772.0,TX,2020
P00000001,103845171.0,FL,2020
P00000002,98543287.0,NY,2008
P80003338,97674852.0,CA,2008
P00003392,93681171.0,CA,2016
P80003338,91679377.0,CA,2012
P00000002,91679377.0,CA,2012
P00000001,91292718.0,NY,2016
P00000001,82101787.0,TX,2012
P00000001,80062764.0,NY,2012
P00000001,75857465.0,TX,2016
P00000002,73221182.0,NY,2016
P80000722,71059345.0,NY,2020
P00000003,69829900.0,CA,2020
P80001571,69666347.0,CA,2020
P00000001,66302266.0,TX,2008
P00000002,65707691.0,CA,2024
P00009423,64790021.0,CA,2024
P00003392,64565396.0,NY,2016
P00000001,62572181.0,FL,2012
P00000001,61357096.0,FL,2024
P80003338,59878706.0,NY,2008
P00000003,59397308.0,TX,2020
P80001571,59333570.0,TX,2020
P00000001,59199747.0,FL,2008
P00000001,59146972.0,MA,2020
P00000001,58095188.0,FL,2016
P00000003,57710804.0,TX,2012
P00000001,57606444.0,WA,2020
P00000003,57571500.0,FL,2020
P80001571,57470185.0,FL,2020
P00000003,54849483.0,CA,2012
P00000001,54728317.0,IL,2008
P00000001,52095769.0,IL,2020
P00000001,52079255.0,TX,2024
P00000002,51344538.0,MA,2020
P00000002,50541462.0,NY,2012
P80003338,50541462.0,NY,2012
P00000001,50366368.0,PA,2020
P00000002,49196865.0,TX,2020
P00000003,49070876.0,TX,2016
P00000001,48718539.0,VA,2008
P00000001,48471092.0,NY,2024
P00000001,47009908.0,VA,2020
P00000002,46157655.0,FL,2020
P00000002,46014645.0,WA,2020
P80003353,46011474.0,CA,2012
P00000003,43873131.0,CA,2008
P00000003,43394030.0,FL,2024
P00000002,43369224.0,IL,2008
P00000001,42526236.0,NJ,2020
P00000001,42379903.0,IL,2012
P00000001,41654828.0,MD,2020
P00000001,41618498.0,MA,2008
P80003353,39753983.0,TX,2012
P00000003,39736948.0,FL,2012
P00000002,37687929.0,IL,2020
P00000001,37472802.0,DC,2008
P00000001,37257651.0,CO,2020
P00000003,36948019.0,CA,2024
P00000001,36897017.0,MA,2012
P00000003,36453786.0,CA,2016
P80003338,35885208.0,IL,2008
P80000722,35229265.0,FL,2020
P00000001,34715245.0,VA,2012
P00000001,34552261.0,GA,2020
P00000002,34303659.0,DC,2008
P00000002,34252589.0,PA,2020
P80003353,34052332.0,FL,2012
P00000003,34040364.0,TX,2024
P00000002,33861247.0,VA,2020
P00000002,33815299.0,MD,2020
P80000722,33742257.0,MA,2020
P00000002,33326997.0,TX,2008
P00000001,33212786.0,NC,2020
P00000001,33158009.0,OH,2020
P00000003,32975269.0,TX,2008
P00000002,32903132.0,FL,2008
P00000001,32609360.0,NJ,2008
P00000002,32488205.0,MA,2008
P00000001,32308631.0,MD,2008
P00000003,32225392.0,FL,2016
P80000722,32172341.0,TX,2020
P00000001,31390178.0,MA,2016
P00000002,31204138.0,NY,2024
P00000001,30885936.0,MI,2020
P00000001,30725172.0,PA,2012
P00009423,30725022.0,NY,2024
