candidate_contributions_less_repayments,candidate_id,candidate_last_name,candidate_name,candidate_party_affiliation,cash_on_hand_end,committee_designation,committee_id,committee_name,committee_type,debts_owed_by_committee,disbursements_less_offsets,election_year,exempt_legal_accounting_disbursement,federal_funds,fundraising_disbursements,individual_contributions_less_refunds,net_receipts,offsets_to_operating_expenditures,operating_expenditures,other_disbursements,pac_contributions_less_refunds,party_contributions_less_refunds,repayments_loans_made_by_candidate,repayments_other_loans,rounded_net_receipts,total_contribution_refunds,total_loan_repayments_made,transfers_from_affiliated_committees,transfers_to_other_authorized_committees
1461864128.62,P00000001,All candidates,ALL CANDIDATES,,27739639.85,P,,,,16245097.2,3994488723.91,2020,0.0,0.0,236662.51,1941464847.74,4021221646.4,63299833.81,3997674408.05,60206353.31,1880362.06,23121.0,15719520.3,580.0,4021.2,43720082.55,15720100.3,601240316.47,13001150.28
1442657414.76,P00000002,Democrats,DEMOCRATS,DEM,14275105.27,P,,,,6242473.18,3181978983.65,2020,0.0,0.0,232500.25,1458453496.23,3203812621.3,52773034.67,3214149226.52,20389439.36,1033819.63,13265.0,15694473.61,0.0,3203.8,32039814.2,15694473.61,290955098.21,12604752.96
60230845.92,P00000001,All candidates,ALL CANDIDATES,,49247342.75,P,,,,13244009.83,1603351769.73,2008,1334421.8,104748775.91,10586891.56,1334236812.51,1682430185.3,59470505.54,1565561045.52,85351461.09,5057688.8,53057.25,125515.73,37666966.72,1682.4,53725782.33,37792397.52,154264813.32,26995274.34
69091448.05,P00000001,All candidates,ALL CANDIDATES,,16412318.79,P,,,,3702149.78,1446299929.43,2016,0.0,1544964.68,16101.68,1081052068.78,1462314770.13,39962259.19,1483952338.17,2298748.77,2947772.53,29683.23,25000.0,510811.64,1462.3,24814047.22,535811.64,301668101.25,4265220.29
5759656.71,P00000001,All candidates,ALL CANDIDATES,,5848154.81,P,,,,15040768.77,1320877014.81,2012,903.25,1275165.12,975190.77,981464622.13,1325404786.61,18442203.22,1304609104.56,33734021.2,1655495.56,34750.28,444900.0,20000000.0,1325.4,15653353.75,20444900.0,331692816.86,2697634.5
1089225532.11,P00014530,Bloomberg,"BLOOMBERG, MICHAEL R.",DEM,3422907.46,P,C00728154,"MIKE BLOOMBERG 2020, INC.",P,82387.36,1092901503.31,2020,0.0,0.0,0.0,914487.06,1096324410.77,28268533.96,1102765253.53,18404783.74,0.0,0.0,0.0,0.0,1096.3,0.0,0.0,0.0,0.0
13177325.0,P00000002,Democrats,DEMOCRATS,DEM,24590909.97,P,,,,6721809.79,1044526349.22,2008,176298.09,18046323.09,3746635.0,935288016.89,1076667226.08,34708390.71,1027255987.17,48062365.9,2529730.65,15240.0,73515.73,12583378.52,1076.7,33560582.03,12656894.25,103623386.54,7550572.67
0.0,P80000722,Biden,"BIDEN, JOSEPH R JR",DEM,260475.37,P,C00703975,BIDEN FOR PRESIDENT,P,0.0,1049921546.52,2020,0.0,0.0,0.0,807323265.47,1051374613.89,7021943.4,1056940033.92,3456.0,554463.37,8200.0,0.0,0.0,1051.4,15783418.74,0.0,243411324.12,1192592.0
63320455.0,P00000001,All candidates,ALL CANDIDATES,,396376439.36,P,,,,56634725.4,631441458.91,2024,0.0,0.0,663037.85,431369200.78,1005381439.66,10806123.38,641341063.38,243538.19,625526.58,2000.0,969562.67,0.0,1005.4,13655039.02,969562.67,507113305.02,946961.87
1450955.21,P00000002,Democrats,DEMOCRATS,DEM,6463274.72,P,,,,450890.51,792974233.85,2016,0.0,1088929.29,0.0,632546708.08,799419661.15,20243887.14,812980633.35,237487.64,1904889.78,20039.3,0.0,500000.0,799.4,11317228.13,500000.0,162260000.0,0.0
711302.68,P00000003,Republicans,REPUBLICANS,REP,12076522.99,P,,,,3559554.92,789091345.12,2020,0.0,0.0,0.0,476715472.57,792600168.37,10505639.45,759794096.98,39802887.59,844342.43,-4400.0,0.0,0.0,792.6,11617265.02,0.0,310285218.26,393947.32
