committee_id,count,cycle,size,total
C00237834,298.0,1996,500,169265.00
C00165548,11.0,1996,500,5560.00
C00372466,18.0,2006,500,10000.00
C00542365,1.0,2014,200,308.00
C00088666,29.0,1996,500,14750.00
C00001743,14.0,2016,200,3186.59
C00048579,1.0,2018,500,520.00
C00868141,3.0,2024,1000,3500.00
C00034785,115.0,2000,500,58100.00
C00301259,6.0,2000,200,1609.00
C00111310,29.0,2010,200,8153.27
C00874982,,2024,0,0.00
C00144774,924.0,2022,200,306910.47
C00097543,146.0,1992,200,48138.00
C00085506,1.0,1980,1000,1000.00
C00416404,2.0,2010,2000,4800.00
C00342048,140.0,2000,2000,573500.00
C00089136,1.0,2008,1000,1000.00
C00505552,1690.0,2012,200,440315.70
C00731950,16.0,2022,200,4360.00
C00397505,70.0,2018,200,17850.00
C00829028,,2022,0,4500.00
C00098855,3.0,1988,500,1500.00
C00459677,8.0,2010,500,4000.00
C00338426,,1998,0,800.00
C00150367,319.0,1998,1000,369576.00
C00033456,13.0,1996,200,3930.00
C00829564,2.0,2024,2000,7500.00
C00572958,5.0,2018,2000,332909.49
C00636027,159.0,2022,200,43766.73
C00496471,27.0,2012,500,14455.00
C00280222,8.0,2024,200,3200.00
C00260299,294.0,1992,500,151826.00
C00004275,44.0,1996,200,14450.00
C00110197,36.0,1992,500,25113.00
C00379941,2.0,2002,500,1100.00
C00519603,8.0,2022,500,4200.00
C00412759,488.0,2022,1000,527032.74
C00721845,72.0,2020,200,18800.00
C00799247,99.0,2022,2000,274950.00
C00201863,5.0,2004,1000,6600.00
C00279968,66.0,1994,500,34975.00
C00019976,19.0,1984,2000,83500.00
C00038737,,1978,0,500.00
C00722801,,2020,0,230.00
C00274944,,2002,0,3200.00
C00519413,46.0,2022,1000,48200.00
C00706689,6.0,2024,2000,37000.00
C00032771,1.0,1980,1000,1200.00
C00290312,1.0,1992,1000,1000.00
C00085647,,1978,0,400.00
C00314930,,1996,0,1200.00
C00455139,3.0,2008,2000,10100.00
C00136457,13.0,1996,2000,38500.00
C70001516,,2008,0,
C00733261,1.0,2022,2000,5000.00
C00582270,,2022,0,2014.00
C00311308,8.0,2006,1000,10450.00
C00442905,34.0,2016,2000,118550.00
C00704288,,2022,0,0.00
C00062646,5.0,2008,2000,14999.84
C00129635,1.0,1992,1000,1200.00
C00376400,51.0,2002,2000,233500.00
C00530873,8.0,2012,2000,30000.00
C00287888,46.0,1994,500,27570.00
C00570903,10.0,2018,200,2619.33
C00265942,78.0,1998,500,39966.00
C00109017,3.0,2022,2000,12479.72
C00202226,1.0,1986,500,760.00
C00062224,,1978,0,400.00
C00429019,1.0,2006,500,500.00
C00685826,1.0,2018,2000,2000.00
C00471193,2.0,2010,2000,5000.00
C00092957,109.0,2018,200,31901.12
C00350421,3.0,2008,2000,6300.00
C00507962,,2024,0,72563.67
C00790022,,2022,0,0.00
C00174599,45.0,2014,500,22700.00
C00697334,21.0,2022,1000,23180.00
C00133371,1.0,1980,1000,1000.00
C00484378,2.0,2012,500,1000.00
C00461822,149.0,2020,2000,398309.93
C00229377,37.0,1988,1000,37000.00
C00034132,62.0,2008,500,33981.00
C00412288,5.0,2006,1000,5000.00
C00115865,1.0,1984,500,500.00
C00742007,,2022,0,3042368.76
C00181479,155.0,1988,1000,155000.00
C00366872,4.0,2004,500,2000.00
C00255596,62.0,1992,200,16950.00
C00400481,3.0,2004,200,750.00
C00316141,203.0,2000,1000,201000.00
C00836486,,2024,0,30555.22
C00687574,3.0,2018,500,1500.00
C00876896,5.0,2024,1000,5164.08
C00419630,197.0,2010,1000,205012.38
C00740860,1.0,2020,500,500.00
C00024869,,1990,0,16700.00
C00262816,74.0,1992,500,38246.00
C00212522,3.0,2006,200,835.00
