committee_id,count,cycle,state,state_full,total
C00401224,29790879,2020,CA,California,524503766.83
C00552851,7338,2020,VA,Virginia,308039628.67
C00401224,15535201,2022,CA,California,241577463.27
C00401224,13099814,2020,NY,New York,228593481.77
C00844159,5232,2024,VA,Virginia,204161364.61
C00401224,11945814,2024,CA,California,199705911.11
C00694323,5501484,2020,CA,California,170161675.76
C00786624,10,2022,NY,New York,169241961.86
C00835959,30,2024,CA,California,163117245.01
C00744946,106685,2020,CA,California,148533451.35
C00703975,1141497,2020,CA,California,145355628.55
C00694323,4475265,2020,TX,Texas,142166377.58
C00401224,9574633,2018,CA,California,141028872.43
C00401224,8304233,2020,TX,Texas,135420654.45
C00694323,4177765,2020,FL,Florida,128931783.09
C00825851,6,2024,WY,Wyoming,125000000.00
C00401224,8011816,2020,FL,Florida,124629659.27
C00401224,7011084,2020,WA,Washington,121745928.52
C00484642,853,2022,DC,District Of Columbia,119704844.33
C00703975,90518,2020,DC,District Of Columbia,119547777.34
C00401224,6388049,2020,MA,Massachusetts,119010003.97
C00744946,60603,2024,CA,California,112652320.63
C00834077,189,2024,FL,Florida,108018409.87
C00586537,85300,2016,CA,California,107976143.54
C00618371,123727,2020,VA,Virginia,101933223.40
C00401224,6308285,2022,NY,New York,100260055.78
C00431445,457349,2008,CA,California,97116358.89
C00401224,5882963,2020,IL,Illinois,96688635.92
C00484642,1612,2020,DC,District Of Columbia,95876975.15
C00575795,675415,2016,CA,California,94003072.91
C00010603,24360,2016,NY,New York,90753520.49
C00547349,73,2016,CA,California,90516285.00
C00756882,12,2020,NV,Nevada,90002000.00
C00431445,617046,2012,CA,California,88126823.28
C00401224,5466091,2020,PA,Pennsylvania,88072570.14
C00694323,3626362,2022,CA,California,87368479.06
C00401224,5520796,2016,CA,California,86385278.89
C00586537,52988,2016,NY,New York,85869868.68
C00494740,63573,2012,CA,California,85801852.51
C00571703,28,2020,NV,Nevada,82748250.00
C00669259,62,2024,DC,District Of Columbia,82403910.93
C00401224,4811821,2024,NY,New York,80599111.50
C00495861,102,2020,DC,District Of Columbia,79938306.27
C00401224,4376923,2020,VA,Virginia,79148514.98
C00010603,144455,2020,CA,California,78179023.33
C00571703,68,2022,VA,Virginia,77421875.00
C00487363,18,2020,VA,Virginia,76707640.00
C00694323,3174171,2022,TX,Texas,76090182.18
C00694323,3188386,2022,FL,Florida,75834278.87
C00693382,12,2020,DE,Delaware,75500002.62
C00003418,675824,2020,CA,California,74344606.38
C00003418,500213,2020,TX,Texas,73892744.11
C00401224,3993419,2020,MD,Maryland,73575407.44
C00401224,4473249,2020,NJ,New Jersey,73463332.26
C00401224,4244772,2020,CO,Colorado,72410020.56
C00703975,502264,2020,NY,New York,72372308.55
C00669259,38,2020,DC,District Of Columbia,72297053.02
C00010603,203687,2022,CA,California,71598106.98
C00575795,390905,2016,NY,New York,71119196.92
C00401224,4939006,2022,FL,Florida,70804675.95
C00547349,31,2014,CA,California,69910800.00
C00618389,3794,2020,TX,Texas,68064478.61
C00532705,15,2020,NY,New York,67417268.71
C00401224,4230061,2020,OR,Oregon,67302268.41
C00003418,488894,2020,FL,Florida,67198892.02
C00669259,47,2020,CA,California,67026735.00
C00744946,49167,2020,NY,New York,66204868.08
C00401224,4378665,2018,NY,New York,65866877.88
C00703975,335267,2024,CA,California,65506186.60
C00401224,3966603,2020,MI,Michigan,64368264.40
C00694323,3375953,2024,CA,California,64220841.34
C00618389,3658,2020,FL,Florida,63911067.41
C00571703,64,2020,IL,Illinois,63754850.00
C00532705,22,2018,NY,New York,63486156.62
C00401224,4017215,2024,TX,Texas,63031754.17
C00401224,4118737,2024,FL,Florida,62791502.09
C00694323,3312464,2024,TX,Texas,61700141.75
C00401224,3773561,2020,NC,North Carolina,61617176.51
C00547349,66,2018,CA,California,61105215.10
C00401224,4262083,2022,TX,Texas,60753139.82
C00693382,7,2024,DE,Delaware,60731958.12
C00825851,13,2022,VA,Virginia,60007750.00
C00431445,234190,2008,NY,New York,59938744.92
C00401224,3652225,2020,AZ,Arizona,57038550.05
C00571703,144,2020,NY,New York,56870150.00
C00580100,566493,2020,CA,California,56773353.38
C00694323,3003150,2024,FL,Florida,56529162.74
C00504530,89,2022,DC,District Of Columbia,56472709.69
C00518282,30416,2012,CA,California,56236859.66
C00401224,3625617,2022,WA,Washington,55810525.82
C00495861,183,2016,NY,New York,55649863.05
C00401224,3354836,2020,GA,Georgia,55410076.97
C00694323,1922970,2020,NY,New York,55143999.22
C00495028,1007,2022,DC,District Of Columbia,55073358.34
C00504530,7,2018,NV,Nevada,55001000.00
C00010603,60697,2020,NY,New York,54937424.62
C00401224,3594215,2020,OH,Ohio,54501473.32
C00401224,3522185,2022,PA,Pennsylvania,54439596.90
C00618389,4682,2020,CA,California,52115046.88
C00571703,13,2018,NV,Nevada,51907300.00
