committee_id,count,cycle,memo_count,memo_total,purpose,total
C00000000,12,1976,0,0.00,CONTRIBUTIONS,1400.00
C00797761,3,2022,1,61.82,ADMINISTRATIVE,209.38
C00000000,23,1978,0,0.00,CONTRIBUTIONS,9715.00
C00000000,16,1980,0,0.00,CONTRIBUTIONS,10640.00
C00000000,34,1982,0,0.00,CONTRIBUTIONS,11887.00
C00000000,1,1982,0,0.00,OTHER,50.00
C00000000,44,1984,0,0.00,CONTRIBUTIONS,13390.00
C00000000,41,1986,0,0.00,CONTRIBUTIONS,7870.00
C00000000,1,1988,0,0.00,TRANSFERS,1245.00
C00000018,3,1978,0,0.00,CONTRIBUTIONS,900.00
C00000018,3,1980,0,0.00,OTHER,2100.00
C00000018,6,1980,0,0.00,CONTRIBUTIONS,690.00
C00000018,11,1982,0,0.00,CONTRIBUTIONS,1190.00
C00000018,1,1982,0,0.00,TRANSFERS,200.00
C00000018,4,1982,0,0.00,OTHER,2453.00
C00000018,7,1984,0,0.00,CONTRIBUTIONS,385.00
C00000018,2,1986,0,0.00,CONTRIBUTIONS,70.00
C00000026,15,1976,0,0.00,CONTRIBUTIONS,3050.00
C00000026,16,1978,0,0.00,CONTRIBUTIONS,3250.00
C00000026,4,1978,0,0.00,OTHER,2000.00
C00000026,40,1980,0,0.00,CONTRIBUTIONS,12725.00
C00000026,118,1982,0,0.00,CONTRIBUTIONS,45125.00
C00000026,7,1984,0,0.00,OTHER,4150.00
C00000026,192,1984,0,0.00,CONTRIBUTIONS,69160.00
C00000026,75,1986,0,0.00,CONTRIBUTIONS,30100.00
C00000026,4,1986,0,0.00,OTHER,2567.00
C00000026,15,1988,0,0.00,CONTRIBUTIONS,5750.00
C00000026,26,1990,0,0.00,CONTRIBUTIONS,14700.00
C00000026,1,1990,0,0.00,OTHER,1000.00
C00000026,58,1992,0,0.00,CONTRIBUTIONS,37500.00
C00000026,29,1994,0,0.00,CONTRIBUTIONS,31450.00
C00000026,2,1994,0,0.00,OTHER,4276.00
C00000042,14,1976,0,0.00,CONTRIBUTIONS,3650.00
C00000042,31,1978,0,0.00,CONTRIBUTIONS,7850.00
C00000042,42,1980,0,0.00,CONTRIBUTIONS,17825.00
C00000042,13,1980,0,0.00,OTHER,5275.00
C00000042,9,1982,0,0.00,OTHER,1087.00
C00000042,77,1982,0,0.00,CONTRIBUTIONS,26000.00
C00000042,2,1984,0,0.00,OTHER,76.00
C00000042,61,1984,0,0.00,CONTRIBUTIONS,25647.00
C00000042,53,1986,0,0.00,CONTRIBUTIONS,26920.00
C00000042,47,1988,0,0.00,CONTRIBUTIONS,28799.00
C00000042,36,1990,0,0.00,CONTRIBUTIONS,26075.00
C00000042,49,1992,0,0.00,CONTRIBUTIONS,26400.00
C00000042,56,1994,0,0.00,CONTRIBUTIONS,30650.00
C00000042,58,1996,0,0.00,CONTRIBUTIONS,38800.00
C00000042,51,1998,0,0.00,CONTRIBUTIONS,41750.00
C00000042,89,2004,0,0.00,CONTRIBUTIONS,158500.00
C00000042,92,2006,0,0.00,CONTRIBUTIONS,179500.00
C00000042,1,2006,0,0.00,ADVERTISING,81.84
C00000042,5,2006,0,0.00,OTHER,7500.00
C00000042,1,2008,0,0.00,OTHER,1000.00
C00000042,99,2008,0,0.00,CONTRIBUTIONS,197000.00
C00000042,99,2012,0,0.00,CONTRIBUTIONS,217500.00
C00000042,1,2014,0,0.00,OTHER,140168.44
C00000059,1,1976,0,0.00,CONTRIBUTIONS,25.00
C00000059,54,1978,0,0.00,ADVERTISING,2015.00
C00000059,14,1978,0,0.00,CONTRIBUTIONS,3655.00
C00000059,8,1978,0,0.00,REFUNDS,385.00
C00000059,28,1980,0,0.00,CONTRIBUTIONS,10061.00
C00000059,17,1980,0,0.00,OTHER,1613.00
C00000059,22,1980,0,0.00,REFUNDS,1144.00
C00000059,21,1980,0,0.00,ADVERTISING,1480.00
C00000059,8,1982,0,0.00,OTHER,393.00
C00000059,57,1982,0,0.00,CONTRIBUTIONS,26900.00
C00000059,59,1982,0,0.00,REFUNDS,5302.00
C00000059,131,1984,0,0.00,CONTRIBUTIONS,79020.00
C00000059,5,1984,0,0.00,REFUNDS,314.00
C00000059,1,1984,0,0.00,OTHER,250.00
C00000059,130,1986,0,0.00,CONTRIBUTIONS,118890.00
C00000059,1,1988,0,0.00,OTHER,233.00
C00000059,112,1988,0,0.00,CONTRIBUTIONS,109850.00
C00000059,73,1990,0,0.00,CONTRIBUTIONS,80250.00
C00000059,116,1992,0,0.00,CONTRIBUTIONS,148100.00
C00000059,70,1994,0,0.00,CONTRIBUTIONS,103000.00
C00000059,52,1996,0,0.00,CONTRIBUTIONS,89250.00
C00000059,55,1998,0,0.00,CONTRIBUTIONS,73750.00
C00000059,54,2000,0,0.00,CONTRIBUTIONS,95000.00
C00000059,55,2004,0,0.00,CONTRIBUTIONS,116500.00
C00000059,1,2004,0,0.00,REFUNDS,30.00
C00000059,2,2004,0,0.00,MATERIALS,98.00
C00000059,0,2004,1,59.00,OTHER,0.00
C00142299,271,2020,0,0.00,CONTRIBUTIONS,614250.00
C00142299,33,2020,0,0.00,OTHER,35376.04
C00012476,404,2020,6,20000.00,CONTRIBUTIONS,3984700.00
C00012476,57,2020,14,65000.00,OTHER,5580324.80
C00000059,41,2012,0,0.00,CONTRIBUTIONS,84500.00
C00000059,28,2014,0,0.00,CONTRIBUTIONS,56500.00
C00000059,1,2016,0,0.00,OTHER,-1000.00
C00000059,54,2016,0,0.00,CONTRIBUTIONS,89500.00
C00011627,2,2018,0,0.00,TRANSFERS,71798.00
C00000117,15,1976,0,0.00,CONTRIBUTIONS,36232.00
C00000117,18,1978,0,0.00,OTHER,45055.00
C00000117,4,1978,0,0.00,CONTRIBUTIONS,12311.00
C00000117,1,1980,0,0.00,TRANSFERS,1200.00
C00000117,1,1980,0,0.00,CONTRIBUTIONS,2000.00
C00000117,48,1980,0,0.00,OTHER,58193.00
C00000117,2,1982,0,0.00,CONTRIBUTIONS,8000.00
C00000117,24,1982,0,0.00,OTHER,83460.00
C00000117,18,1984,0,0.00,OTHER,21885.00
