amendment_indicator,back_reference_schedule_name,back_reference_transaction_id,beneficiary_committee_name,candidate_office,candidate_office_district,committee,committee_id,disbursement_amount,disbursement_date,disbursement_description,disbursement_type,entity_type,file_number,filing,image_number,line_number,load_timestamp,memo_code,memo_text,pdf_url,recipient_city,recipient_name,recipient_prefix,recipient_state,recipient_suffix,recipient_zip,related_line_number,report_type,semi_annual_bundled_refund,transaction_id
A,,,,,,"{'affiliated_committee_name': 'NONE', 'candidate_ids': ['H4ND00061'], 'city': 'BISMARCK', 'committee_id': 'C00869370', 'committee_type': 'H', 'committee_type_full': 'House', 'cycle': 2024, 'cycles': [2024], 'cycles_has_activity': [2024], 'cycles_has_financial': [2024], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '2024-02-13', 'first_file_date': '2024-02-13', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-08-22', 'last_file_date': '2024-08-22', 'name': 'FEDORCHAK FOR ND', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'ND', 'state_full': 'North Dakota', 'street_1': 'PO BOX 2422', 'street_2': None, 'treasurer_name': 'HOBBS, CABELL', 'zip': '58502'}",C00869370,250.0,2025-05-29,REGISTRATION FEE,,ORG,1800576,"{'amended_by': None, 'amendment_chain': [1800576], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202407159653768761', 'committee_id': 'C00869370', 'committee_name': 'FEDORCHAK FOR ND', 'coverage_end_date': '2024-06-30', 'coverage_start_date': '2024-05-23', 'csv_url': 'https://docquery.fec.gov/csv/576/1800576.csv', 'document_description': 'JULY QUARTERLY 2024', 'ending_image_number': '202407159653768906', 'fec_file_id': 'FEC-1800576', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1800576.fec', 'file_number': 1800576, 'filed_date': '2024-07-15', 'form_type': 'F3N', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00869370/1800576/', 'is_amended': False, 'load_timestamp': '2024-07-15T16:27:55', 'most_recent': True, 'most_recent_filing': 1800576, 'pdf_url': 'https://docquery.fec.gov/pdf/761/202407159653768761/202407159653768761.pdf', 'receipt_date': '2024-07-15T16:27:48'}",202407159653768906,17,2024-07-15T16:28:04,,,https://docquery.fec.gov/cgi-bin/fecimg/?202407159653768906,BISMARCK,GREATER NORTH DAKOTA CHAMBER OF COMMERCE,,ND,,58501,426,F3N,,SB17.10018
A,,,,,,"{'affiliated_committee_name': 'ENGEL', 'candidate_ids': [], 'city': 'WACCABUC', 'committee_id': 'C00639435', 'committee_type': 'N', 'committee_type_full': 'PAC - Nonqualified', 'cycle': 2024, 'cycles': [2018, 2020, 2022, 2024], 'cycles_has_activity': [2018, 2020, 2022, 2024], 'cycles_has_financial': [2018, 2020, 2022, 2024], 'designation': 'D', 'designation_full': 'Leadership PAC', 'filing_frequency': 'Q', 'first_f1_date': '2017-05-04', 'first_file_date': '2017-05-04', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2021-05-18', 'last_file_date': '2024-07-14', 'name': 'ELEPAC', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'NY', 'state_full': 'New York', 'street_1': 'P.O. BOX 481', 'street_2': None, 'treasurer_name': 'MISHLER, JACQUELINE B', 'zip': '10597'}",C00639435,513.08,2025-05-20,Flowers,,ORG,1798082,"{'amended_by': None, 'amendment_chain': [1798082], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202407149653234652', 'committee_id': 'C00639435', 'committee_name': 'ELEPAC', 'coverage_end_date': '2024-06-30', 'coverage_start_date': '2024-04-01', 'csv_url': 'https://docquery.fec.gov/csv/082/1798082.csv', 'document_description': 'JULY QUARTERLY 2024', 'ending_image_number': '202407149653234658', 'fec_file_id': 'FEC-1798082', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1798082.fec', 'file_number': 1798082, 'filed_date': '2024-07-14', 'form_type': 'F3XN', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00639435/1798082/', 'is_amended': False, 'load_timestamp': '2024-07-14T21:05:34', 'most_recent': True, 'most_recent_filing': 1798082, 'pdf_url': 'https://docquery.fec.gov/pdf/652/202407149653234652/202407149653234652.pdf', 'receipt_date': '2024-07-14T21:05:30'}",202407149653234657,21B,2024-07-14T21:05:35,X,,https://docquery.fec.gov/cgi-bin/fecimg/?202407149653234657,Bronx,Columbia Florist,,NY,,10463,2,F3XN,,SB21B.4170
A,,,,,,"{'affiliated_committee_name': 'NONE', 'candidate_ids': [], 'city': 'SALT LAKE CITY', 'committee_id': 'C00855064', 'committee_type': 'O', 'committee_type_full': 'Super PAC (Independent Expenditure-Only)', 'cycle': 2024, 'cycles': [2024], 'cycles_has_activity': [2024], 'cycles_has_financial': [2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'Q', 'first_f1_date': '2023-10-30', 'first_file_date': '2023-10-30', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2023-10-30', 'last_file_date': '2024-07-15', 'name': 'CONSERVATIVE VALUES FOR UTAH', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'UT', 'state_full': 'Utah', 'street_1': '3556 S 5600 W', 'street_2': None, 'treasurer_name': 'TERRY, KATIE', 'zip': '84120'}",C00855064,50.0,2025-04-11,BANK FEES,,ORG,1789149,"{'amended_by': None, 'amendment_chain': [1789149], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202406149649016136', 'committee_id': 'C00855064', 'committee_name': 'CONSERVATIVE VALUES FOR UTAH', 'coverage_end_date': '2024-06-05', 'coverage_start_date': '2024-04-01', 'csv_url': 'https://docquery.fec.gov/csv/149/1789149.csv', 'document_description': 'PRE-PRIMARY 2024', 'ending_image_number': '202406149649016164', 'fec_file_id': 'FEC-1789149', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1789149.fec', 'file_number': 1789149, 'filed_date': '2024-06-14', 'form_type': 'F3XN', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00855064/1789149/', 'is_amended': False, 'load_timestamp': '2024-06-14T00:06:53', 'most_recent': True, 'most_recent_filing': 1789149, 'pdf_url': 'https://docquery.fec.gov/pdf/136/202406149649016136/202406149649016136.pdf', 'receipt_date': '2024-06-14T00:06:50'}",202406149649016153,21B,2024-06-14T00:06:53,,,https://docquery.fec.gov/cgi-bin/fecimg/?202406149649016153,MCLEAN,CHAIN BRIDGE BANK,,VA,,22101,33,F3XN,,SB21B.22
N,SB23,SB23.I15674,,,,"{'affiliated_committee_name': 'TEAM STAND FOR AMERICA', 'candidate_ids': ['P40010977'], 'city': 'DANIEL ISLAND', 'committee_id': 'C00833392', 'committee_type': 'P', 'committee_type_full': 'Presidential', 'cycle': 2024, 'cycles': [2024], 'cycles_has_activity': [2024], 'cycles_has_financial': [2024], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '2023-02-14', 'first_file_date': '2023-02-14', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2023-06-28', 'last_file_date': '2024-07-15', 'name': 'NIKKI HALEY FOR PRESIDENT INC.', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'SC', 'state_full': 'South Carolina', 'street_1': '186 SEVEN FARMS DR', 'street_2': 'STE F-370', 'treasurer_name': 'DIEHR, SARA', 'zip': '29492'}",C00833392,49.56,2024-12-31,TAXI,,ORG,1781583,"{'amendment_number': 1, 'amends_file': 1765873, 'beginning_image_number': '202405089645532996', 'committee_id': 'C00833392', 'committee_name': 'NIKKI HALEY FOR PRESIDENT INC.', 'coverage_end_date': '2024-02-29', 'coverage_start_date': '2024-02-01', 'csv_url': 'https://docquery.fec.gov/csv/583/1781583.csv', 'document_description': 'MARCH MONTHLY 2024', 'ending_image_number': '202405089645562365', 'fec_file_id': 'FEC-1781583', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1781583.fec', 'file_number': 1781583, 'filed_date': '2024-05-08', 'form_type': 'F3PA', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00833392/1781583/', 'load_timestamp': '2024-05-08T13:21:35', 'pdf_url': 'https://docquery.fec.gov/pdf/996/202405089645532996/202405089645532996.pdf', 'receipt_date': '2024-05-08T13:21:28'}",202405089645562197,23,2024-05-08T13:35:13,X,,https://docquery.fec.gov/cgi-bin/fecimg/?202405089645562197,SAN FRANCISCO,UBER,,CA,,94103,87580,F3PA,,SB23.I15932
N,SB23,SB23.I15674,,,,"{'affiliated_committee_name': 'TEAM STAND FOR AMERICA', 'candidate_ids': ['P40010977'], 'city': 'DANIEL ISLAND', 'committee_id': 'C00833392', 'committee_type': 'P', 'committee_type_full': 'Presidential', 'cycle': 2024, 'cycles': [2024], 'cycles_has_activity': [2024], 'cycles_has_financial': [2024], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '2023-02-14', 'first_file_date': '2023-02-14', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2023-06-28', 'last_file_date': '2024-07-15', 'name': 'NIKKI HALEY FOR PRESIDENT INC.', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'SC', 'state_full': 'South Carolina', 'street_1': '186 SEVEN FARMS DR', 'street_2': 'STE F-370', 'treasurer_name': 'DIEHR, SARA', 'zip': '29492'}",C00833392,34.99,2024-12-31,TAXI,,ORG,1781583,"{'amendment_number': 1, 'amends_file': 1765873, 'beginning_image_number': '202405089645532996', 'committee_id': 'C00833392', 'committee_name': 'NIKKI HALEY FOR PRESIDENT INC.', 'coverage_end_date': '2024-02-29', 'coverage_start_date': '2024-02-01', 'csv_url': 'https://docquery.fec.gov/csv/583/1781583.csv', 'document_description': 'MARCH MONTHLY 2024', 'ending_image_number': '202405089645562365', 'fec_file_id': 'FEC-1781583', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1781583.fec', 'file_number': 1781583, 'filed_date': '2024-05-08', 'form_type': 'F3PA', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00833392/1781583/', 'load_timestamp': '2024-05-08T13:21:35', 'pdf_url': 'https://docquery.fec.gov/pdf/996/202405089645532996/202405089645532996.pdf', 'receipt_date': '2024-05-08T13:21:28'}",202405089645562197,23,2024-05-08T13:35:13,X,,https://docquery.fec.gov/cgi-bin/fecimg/?202405089645562197,SAN FRANCISCO,UBER,,CA,,94103,87579,F3PA,,SB23.I15931
N,SB23,SB23.I15673,,,,"{'affiliated_committee_name': 'TEAM STAND FOR AMERICA', 'candidate_ids': ['P40010977'], 'city': 'DANIEL ISLAND', 'committee_id': 'C00833392', 'committee_type': 'P', 'committee_type_full': 'Presidential', 'cycle': 2024, 'cycles': [2024], 'cycles_has_activity': [2024], 'cycles_has_financial': [2024], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '2023-02-14', 'first_file_date': '2023-02-14', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2023-06-28', 'last_file_date': '2024-07-15', 'name': 'NIKKI HALEY FOR PRESIDENT INC.', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'SC', 'state_full': 'South Carolina', 'street_1': '186 SEVEN FARMS DR', 'street_2': 'STE F-370', 'treasurer_name': 'DIEHR, SARA', 'zip': '29492'}",C00833392,35.9,2024-12-31,EVENT SUPPLIES,,ORG,1781583,"{'amendment_number': 1, 'amends_file': 1765873, 'beginning_image_number': '202405089645532996', 'committee_id': 'C00833392', 'committee_name': 'NIKKI HALEY FOR PRESIDENT INC.', 'coverage_end_date': '2024-02-29', 'coverage_start_date': '2024-02-01', 'csv_url': 'https://docquery.fec.gov/csv/583/1781583.csv', 'document_description': 'MARCH MONTHLY 2024', 'ending_image_number': '202405089645562365', 'fec_file_id': 'FEC-1781583', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1781583.fec', 'file_number': 1781583, 'filed_date': '2024-05-08', 'form_type': 'F3PA', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00833392/1781583/', 'load_timestamp': '2024-05-08T13:21:35', 'pdf_url': 'https://docquery.fec.gov/pdf/996/202405089645532996/202405089645532996.pdf', 'receipt_date': '2024-05-08T13:21:28'}",202405089645562190,23,2024-05-08T13:35:13,X,,https://docquery.fec.gov/cgi-bin/fecimg/?202405089645562190,ATLANTA,HOME DEPOT,,GA,,30339,87559,F3PA,,SB23.I15957
N,SB23,SB23.I14518,,,,"{'affiliated_committee_name': 'TEAM STAND FOR AMERICA', 'candidate_ids': ['P40010977'], 'city': 'DANIEL ISLAND', 'committee_id': 'C00833392', 'committee_type': 'P', 'committee_type_full': 'Presidential', 'cycle': 2024, 'cycles': [2024], 'cycles_has_activity': [2024], 'cycles_has_financial': [2024], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '2023-02-14', 'first_file_date': '2023-02-14', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2023-06-28', 'last_file_date': '2024-07-15', 'name': 'NIKKI HALEY FOR PRESIDENT INC.', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'SC', 'state_full': 'South Carolina', 'street_1': '186 SEVEN FARMS DR', 'street_2': 'STE F-370', 'treasurer_name': 'DIEHR, SARA', 'zip': '29492'}",C00833392,54.8,2024-12-29,FUEL,,ORG,1781583,"{'amendment_number': 1, 'amends_file': 1765873, 'beginning_image_number': '202405089645532996', 'committee_id': 'C00833392', 'committee_name': 'NIKKI HALEY FOR PRESIDENT INC.', 'coverage_end_date': '2024-02-29', 'coverage_start_date': '2024-02-01', 'csv_url': 'https://docquery.fec.gov/csv/583/1781583.csv', 'document_description': 'MARCH MONTHLY 2024', 'ending_image_number': '202405089645562365', 'fec_file_id': 'FEC-1781583', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1781583.fec', 'file_number': 1781583, 'filed_date': '2024-05-08', 'form_type': 'F3PA', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00833392/1781583/', 'load_timestamp': '2024-05-08T13:21:35', 'pdf_url': 'https://docquery.fec.gov/pdf/996/202405089645532996/202405089645532996.pdf', 'receipt_date': '2024-05-08T13:21:28'}",202405089645562019,23,2024-05-08T13:35:06,X,,https://docquery.fec.gov/cgi-bin/fecimg/?202405089645562019,ANKENY,CASEY'S,,IA,,50021,87045,F3PA,,SB23.I15542
N,SB23,SB23.I14518,,,,"{'affiliated_committee_name': 'TEAM STAND FOR AMERICA', 'candidate_ids': ['P40010977'], 'city': 'DANIEL ISLAND', 'committee_id': 'C00833392', 'committee_type': 'P', 'committee_type_full': 'Presidential', 'cycle': 2024, 'cycles': [2024], 'cycles_has_activity': [2024], 'cycles_has_financial': [2024], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '2023-02-14', 'first_file_date': '2023-02-14', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2023-06-28', 'last_file_date': '2024-07-15', 'name': 'NIKKI HALEY FOR PRESIDENT INC.', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'SC', 'state_full': 'South Carolina', 'street_1': '186 SEVEN FARMS DR', 'street_2': 'STE F-370', 'treasurer_name': 'DIEHR, SARA', 'zip': '29492'}",C00833392,65.64,2024-12-29,FUEL,,ORG,1781583,"{'amendment_number': 1, 'amends_file': 1765873, 'beginning_image_number': '202405089645532996', 'committee_id': 'C00833392', 'committee_name': 'NIKKI HALEY FOR PRESIDENT INC.', 'coverage_end_date': '2024-02-29', 'coverage_start_date': '2024-02-01', 'csv_url': 'https://docquery.fec.gov/csv/583/1781583.csv', 'document_description': 'MARCH MONTHLY 2024', 'ending_image_number': '202405089645562365', 'fec_file_id': 'FEC-1781583', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1781583.fec', 'file_number': 1781583, 'filed_date': '2024-05-08', 'form_type': 'F3PA', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00833392/1781583/', 'load_timestamp': '2024-05-08T13:21:35', 'pdf_url': 'https://docquery.fec.gov/pdf/996/202405089645532996/202405089645532996.pdf', 'receipt_date': '2024-05-08T13:21:28'}",202405089645562018,23,2024-05-08T13:35:06,X,,https://docquery.fec.gov/cgi-bin/fecimg/?202405089645562018,ANKENY,CASEY'S,,IA,,50021,87044,F3PA,,SB23.I15541
N,SB23,SB23.I15674,,,,"{'affiliated_committee_name': 'TEAM STAND FOR AMERICA', 'candidate_ids': ['P40010977'], 'city': 'DANIEL ISLAND', 'committee_id': 'C00833392', 'committee_type': 'P', 'committee_type_full': 'Presidential', 'cycle': 2024, 'cycles': [2024], 'cycles_has_activity': [2024], 'cycles_has_financial': [2024], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '2023-02-14', 'first_file_date': '2023-02-14', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2023-06-28', 'last_file_date': '2024-07-15', 'name': 'NIKKI HALEY FOR PRESIDENT INC.', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'SC', 'state_full': 'South Carolina', 'street_1': '186 SEVEN FARMS DR', 'street_2': 'STE F-370', 'treasurer_name': 'DIEHR, SARA', 'zip': '29492'}",C00833392,36.94,2024-12-29,TAXI,,ORG,1781583,"{'amendment_number': 1, 'amends_file': 1765873, 'beginning_image_number': '202405089645532996', 'committee_id': 'C00833392', 'committee_name': 'NIKKI HALEY FOR PRESIDENT INC.', 'coverage_end_date': '2024-02-29', 'coverage_start_date': '2024-02-01', 'csv_url': 'https://docquery.fec.gov/csv/583/1781583.csv', 'document_description': 'MARCH MONTHLY 2024', 'ending_image_number': '202405089645562365', 'fec_file_id': 'FEC-1781583', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1781583.fec', 'file_number': 1781583, 'filed_date': '2024-05-08', 'form_type': 'F3PA', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00833392/1781583/', 'load_timestamp': '2024-05-08T13:21:35', 'pdf_url': 'https://docquery.fec.gov/pdf/996/202405089645532996/202405089645532996.pdf', 'receipt_date': '2024-05-08T13:21:28'}",202405089645562197,23,2024-05-08T13:35:13,X,,https://docquery.fec.gov/cgi-bin/fecimg/?202405089645562197,SAN FRANCISCO,UBER,,CA,,94103,87581,F3PA,,SB23.I15933
N,SB23,SB23.I15674,,,,"{'affiliated_committee_name': 'TEAM STAND FOR AMERICA', 'candidate_ids': ['P40010977'], 'city': 'DANIEL ISLAND', 'committee_id': 'C00833392', 'committee_type': 'P', 'committee_type_full': 'Presidential', 'cycle': 2024, 'cycles': [2024], 'cycles_has_activity': [2024], 'cycles_has_financial': [2024], 'designation': 'P', 'designation_full': 'Principal campaign committee', 'filing_frequency': 'Q', 'first_f1_date': '2023-02-14', 'first_file_date': '2023-02-14', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2023-06-28', 'last_file_date': '2024-07-15', 'name': 'NIKKI HALEY FOR PRESIDENT INC.', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'SC', 'state_full': 'South Carolina', 'street_1': '186 SEVEN FARMS DR', 'street_2': 'STE F-370', 'treasurer_name': 'DIEHR, SARA', 'zip': '29492'}",C00833392,53.93,2024-12-26,TAXI,,ORG,1781583,"{'amendment_number': 1, 'amends_file': 1765873, 'beginning_image_number': '202405089645532996', 'committee_id': 'C00833392', 'committee_name': 'NIKKI HALEY FOR PRESIDENT INC.', 'coverage_end_date': '2024-02-29', 'coverage_start_date': '2024-02-01', 'csv_url': 'https://docquery.fec.gov/csv/583/1781583.csv', 'document_description': 'MARCH MONTHLY 2024', 'ending_image_number': '202405089645562365', 'fec_file_id': 'FEC-1781583', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1781583.fec', 'file_number': 1781583, 'filed_date': '2024-05-08', 'form_type': 'F3PA', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00833392/1781583/', 'load_timestamp': '2024-05-08T13:21:35', 'pdf_url': 'https://docquery.fec.gov/pdf/996/202405089645532996/202405089645532996.pdf', 'receipt_date': '2024-05-08T13:21:28'}",202405089645562198,23,2024-05-08T13:35:13,X,,https://docquery.fec.gov/cgi-bin/fecimg/?202405089645562198,SAN FRANCISCO,UBER,,CA,,94103,87582,F3PA,,SB23.I15934
