amendment_indicator,back_reference_schedule_name,back_reference_transaction_id,candidate_first_name,candidate_id,candidate_middle_name,candidate_name,candidate_office,candidate_office_district,candidate_office_state,candidate_party,candidate_prefix,candidate_suffix,category_code,committee,committee_id,dissemination_date,entity_type,expenditure_amount,expenditure_date,expenditure_description,file_number,filer_first_name,filer_last_name,filer_middle_name,filer_prefix,filer_suffix,filing,filing_form,image_number,is_notice,line_number,load_timestamp,memo_code,memo_text,most_recent,notary_sign_date,office_total_ytd,payee_city,payee_first_name,payee_last_name,payee_middle_name,payee_name,payee_prefix,payee_state,payee_street_1,payee_street_2,payee_suffix,payee_zip,pdf_url,related_line_number,report_type,support_oppose_indicator,transaction_id
A,,,CHRIS,H8NJ04014,,SMITH,H,04,NJ,REP,,,004,"{'affiliated_committee_name': 'NONE', 'candidate_ids': [], 'city': 'WESTCHESTER', 'committee_id': 'C00671685', 'committee_type': 'O', 'committee_type_full': 'Super PAC (Independent Expenditure-Only)', 'cycle': 2024, 'cycles': [2018, 2020, 2022, 2024], 'cycles_has_activity': [2018, 2020, 2022, 2024], 'cycles_has_financial': [2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2018-02-28', 'first_file_date': '2018-02-28', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2021-09-09', 'last_file_date': '2024-09-12', 'name': 'AUTISM HEAR US NOW PAC', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'IL', 'state_full': 'Illinois', 'street_1': 'ONE WESTBROOK CORPORATE CENTER', 'street_2': 'SUITE 300', 'treasurer_name': 'CAPPLEMAN, OLIVER MR', 'zip': '60154'}",C00671685,2024-07-18,ORG,67,,PHONEBANK PAYROLL SERVICES(ESTIMATE),1812664,CAPPLEMAN,OLIVER,,MR,,"{'amended_by': None, 'amendment_chain': [1803791, 1809107, 1812664], 'amendment_number': 2, 'amends_file': 1809107, 'beginning_image_number': '202408229675253141', 'committee_id': 'C00671685', 'committee_name': 'AUTISM HEAR US NOW PAC', 'coverage_end_date': None, 'coverage_start_date': None, 'csv_url': 'https://docquery.fec.gov/csv/664/1812664.csv', 'ending_image_number': '202408229675253143', 'fec_file_id': 'FEC-1812664', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1812664.fec', 'file_number': 1812664, 'filed_date': '2024-08-22', 'form_type': 'F24A', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00671685/1812664/', 'is_amended': False, 'load_timestamp': '2024-08-22T15:52:44', 'most_recent': True, 'most_recent_filing': 1812664, 'pdf_url': 'https://docquery.fec.gov/pdf/141/202408229675253141/202408229675253141.pdf', 'receipt_date': '2024-08-22T15:52:40'}",F24,202408229675253141,True,24,2024-08-22T15:52:44,,,True,,5566.53,HENDERSON,,LAV SERVICES LLC,,"LAV SERVICES LLC,",,NV,1009 WHITNEY RANCH DR.,,,89014,https://docquery.fec.gov/cgi-bin/fecimg/?202408229675253141,2,F24A,S,SE-S1646657
A,,,JULIA,H2CA00120,,BROWNLEY,H,26,CA,DEM,,,004,"{'affiliated_committee_name': 'NONE', 'candidate_ids': [], 'city': 'WESTCHESTER', 'committee_id': 'C00671685', 'committee_type': 'O', 'committee_type_full': 'Super PAC (Independent Expenditure-Only)', 'cycle': 2024, 'cycles': [2018, 2020, 2022, 2024], 'cycles_has_activity': [2018, 2020, 2022, 2024], 'cycles_has_financial': [2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2018-02-28', 'first_file_date': '2018-02-28', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2021-09-09', 'last_file_date': '2024-09-12', 'name': 'AUTISM HEAR US NOW PAC', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'IL', 'state_full': 'Illinois', 'street_1': 'ONE WESTBROOK CORPORATE CENTER', 'street_2': 'SUITE 300', 'treasurer_name': 'CAPPLEMAN, OLIVER MR', 'zip': '60154'}",C00671685,2024-07-18,ORG,65,,CAGING AND DATABASE SERVICES(ESTIMATE),1812664,CAPPLEMAN,OLIVER,,MR,,"{'amended_by': None, 'amendment_chain': [1803791, 1809107, 1812664], 'amendment_number': 2, 'amends_file': 1809107, 'beginning_image_number': '202408229675253141', 'committee_id': 'C00671685', 'committee_name': 'AUTISM HEAR US NOW PAC', 'coverage_end_date': None, 'coverage_start_date': None, 'csv_url': 'https://docquery.fec.gov/csv/664/1812664.csv', 'ending_image_number': '202408229675253143', 'fec_file_id': 'FEC-1812664', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1812664.fec', 'file_number': 1812664, 'filed_date': '2024-08-22', 'form_type': 'F24A', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00671685/1812664/', 'is_amended': False, 'load_timestamp': '2024-08-22T15:52:44', 'most_recent': True, 'most_recent_filing': 1812664, 'pdf_url': 'https://docquery.fec.gov/pdf/141/202408229675253141/202408229675253141.pdf', 'receipt_date': '2024-08-22T15:52:40'}",F24,202408229675253142,True,24,2024-08-22T15:52:44,,,True,,10040.59,NEW PHILADELPHIA,,STANDARD DATA SERVICES LLC,,"STANDARD DATA SERVICES LLC,",,OH,513 MILL AVE SE,SUITE 206,,44663,https://docquery.fec.gov/cgi-bin/fecimg/?202408229675253142,5,F24A,S,SE-S1646655
A,,,JULIA,H2CA00120,,BROWNLEY,H,26,CA,DEM,,,004,"{'affiliated_committee_name': 'NONE', 'candidate_ids': [], 'city': 'WESTCHESTER', 'committee_id': 'C00671685', 'committee_type': 'O', 'committee_type_full': 'Super PAC (Independent Expenditure-Only)', 'cycle': 2024, 'cycles': [2018, 2020, 2022, 2024], 'cycles_has_activity': [2018, 2020, 2022, 2024], 'cycles_has_financial': [2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2018-02-28', 'first_file_date': '2018-02-28', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2021-09-09', 'last_file_date': '2024-09-12', 'name': 'AUTISM HEAR US NOW PAC', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'IL', 'state_full': 'Illinois', 'street_1': 'ONE WESTBROOK CORPORATE CENTER', 'street_2': 'SUITE 300', 'treasurer_name': 'CAPPLEMAN, OLIVER MR', 'zip': '60154'}",C00671685,2024-07-18,ORG,67,,PHONEBANK PAYROLL SERVICES(ESTIMATE),1812664,CAPPLEMAN,OLIVER,,MR,,"{'amended_by': None, 'amendment_chain': [1803791, 1809107, 1812664], 'amendment_number': 2, 'amends_file': 1809107, 'beginning_image_number': '202408229675253141', 'committee_id': 'C00671685', 'committee_name': 'AUTISM HEAR US NOW PAC', 'coverage_end_date': None, 'coverage_start_date': None, 'csv_url': 'https://docquery.fec.gov/csv/664/1812664.csv', 'ending_image_number': '202408229675253143', 'fec_file_id': 'FEC-1812664', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1812664.fec', 'file_number': 1812664, 'filed_date': '2024-08-22', 'form_type': 'F24A', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00671685/1812664/', 'is_amended': False, 'load_timestamp': '2024-08-22T15:52:44', 'most_recent': True, 'most_recent_filing': 1812664, 'pdf_url': 'https://docquery.fec.gov/pdf/141/202408229675253141/202408229675253141.pdf', 'receipt_date': '2024-08-22T15:52:40'}",F24,202408229675253141,True,24,2024-08-22T15:52:44,,,True,,10040.59,HENDERSON,,LAV SERVICES LLC,,"LAV SERVICES LLC,",,NV,1009 WHITNEY RANCH DR.,,,89014,https://docquery.fec.gov/cgi-bin/fecimg/?202408229675253141,3,F24A,S,SE-S1646659
A,,,JULIA,H2CA00120,,BROWNLEY,H,26,CA,DEM,,,004,"{'affiliated_committee_name': 'NONE', 'candidate_ids': [], 'city': 'WESTCHESTER', 'committee_id': 'C00671685', 'committee_type': 'O', 'committee_type_full': 'Super PAC (Independent Expenditure-Only)', 'cycle': 2024, 'cycles': [2018, 2020, 2022, 2024], 'cycles_has_activity': [2018, 2020, 2022, 2024], 'cycles_has_financial': [2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2018-02-28', 'first_file_date': '2018-02-28', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2021-09-09', 'last_file_date': '2024-09-12', 'name': 'AUTISM HEAR US NOW PAC', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'IL', 'state_full': 'Illinois', 'street_1': 'ONE WESTBROOK CORPORATE CENTER', 'street_2': 'SUITE 300', 'treasurer_name': 'CAPPLEMAN, OLIVER MR', 'zip': '60154'}",C00671685,2024-07-18,ORG,133,,PHONEBANK IT/TECH SUPPORT(ESTIMATE),1812664,CAPPLEMAN,OLIVER,,MR,,"{'amended_by': None, 'amendment_chain': [1803791, 1809107, 1812664], 'amendment_number': 2, 'amends_file': 1809107, 'beginning_image_number': '202408229675253141', 'committee_id': 'C00671685', 'committee_name': 'AUTISM HEAR US NOW PAC', 'coverage_end_date': None, 'coverage_start_date': None, 'csv_url': 'https://docquery.fec.gov/csv/664/1812664.csv', 'ending_image_number': '202408229675253143', 'fec_file_id': 'FEC-1812664', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1812664.fec', 'file_number': 1812664, 'filed_date': '2024-08-22', 'form_type': 'F24A', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00671685/1812664/', 'is_amended': False, 'load_timestamp': '2024-08-22T15:52:44', 'most_recent': True, 'most_recent_filing': 1812664, 'pdf_url': 'https://docquery.fec.gov/pdf/141/202408229675253141/202408229675253141.pdf', 'receipt_date': '2024-08-22T15:52:40'}",F24,202408229675253143,True,24,2024-08-22T15:52:44,,,True,,10040.59,LAKE HAVASU CITY,,WIRED4DATA,,"WIRED4DATA,",,AZ,55 LAKE HAVASU AVE SOUTH,F-677,,86403,https://docquery.fec.gov/cgi-bin/fecimg/?202408229675253143,7,F24A,S,SE-S1646663
A,,,Thomas,H2MI07123,M.,Barrett,H,07,MI,REP,,,,"{'affiliated_committee_name': 'MINNESOTA SECOND DISTRICT VICTORY COMMITTEE', 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00495028', 'committee_type': 'W', 'committee_type_full': 'Hybrid PAC (with Non-Contribution Account) - Qualified', 'cycle': 2024, 'cycles': [2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2011-04-08', 'first_file_date': '2011-04-08', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-08-20', 'last_file_date': '2024-09-12', 'name': 'HMP', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1032 15TH STREET NW', 'street_2': 'SUITE 247', 'treasurer_name': 'WOLFF, BRIAN', 'zip': '20005'}",C00495028,2024-09-10,ORG,105000,,Digital Advertising - Estimate,1815285,Wolff,Brian,,,,"{'amended_by': None, 'amendment_chain': [1815285], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202409129675430059', 'committee_id': 'C00495028', 'committee_name': 'HMP', 'coverage_end_date': None, 'coverage_start_date': None, 'csv_url': 'https://docquery.fec.gov/csv/285/1815285.csv', 'ending_image_number': '202409129675430098', 'fec_file_id': 'FEC-1815285', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1815285.fec', 'file_number': 1815285, 'filed_date': '2024-09-12', 'form_type': 'F24N', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00495028/1815285/', 'is_amended': False, 'load_timestamp': '2024-09-12T22:16:46', 'most_recent': True, 'most_recent_filing': 1815285, 'pdf_url': 'https://docquery.fec.gov/pdf/059/202409129675430059/202409129675430059.pdf', 'receipt_date': '2024-09-12T22:16:43'}",F24,202409129675430074,True,24,2024-09-12T22:16:46,,,True,,863021.98,Washington,,SKDKnickerbocker LLC,,"SKDKnickerbocker LLC,",,DC,1150 18th St NW,Ste 800,,200363845,https://docquery.fec.gov/cgi-bin/fecimg/?202409129675430074,33,F24N,O,500528296
A,,,John,H2CA13131,,Duarte,H,13,CA,REP,,,,"{'affiliated_committee_name': 'MINNESOTA SECOND DISTRICT VICTORY COMMITTEE', 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00495028', 'committee_type': 'W', 'committee_type_full': 'Hybrid PAC (with Non-Contribution Account) - Qualified', 'cycle': 2024, 'cycles': [2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2011-04-08', 'first_file_date': '2011-04-08', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-08-20', 'last_file_date': '2024-09-12', 'name': 'HMP', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1032 15TH STREET NW', 'street_2': 'SUITE 247', 'treasurer_name': 'WOLFF, BRIAN', 'zip': '20005'}",C00495028,2024-09-10,ORG,259200,,Television Advertising - Estimate,1815285,Wolff,Brian,,,,"{'amended_by': None, 'amendment_chain': [1815285], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202409129675430059', 'committee_id': 'C00495028', 'committee_name': 'HMP', 'coverage_end_date': None, 'coverage_start_date': None, 'csv_url': 'https://docquery.fec.gov/csv/285/1815285.csv', 'ending_image_number': '202409129675430098', 'fec_file_id': 'FEC-1815285', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1815285.fec', 'file_number': 1815285, 'filed_date': '2024-09-12', 'form_type': 'F24N', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00495028/1815285/', 'is_amended': False, 'load_timestamp': '2024-09-12T22:16:46', 'most_recent': True, 'most_recent_filing': 1815285, 'pdf_url': 'https://docquery.fec.gov/pdf/059/202409129675430059/202409129675430059.pdf', 'receipt_date': '2024-09-12T22:16:43'}",F24,202409129675430086,True,24,2024-09-12T22:16:46,,,True,,868166.16,Washington,,Waterfront Strategies,,"Waterfront Strategies,",,DC,3050 K St NW,Ste 100,,200075161,https://docquery.fec.gov/cgi-bin/fecimg/?202409129675430086,57,F24N,O,500528305
A,,,Julie,H4TX32089,,Johnson,H,32,TX,DEM,,,,"{'affiliated_committee_name': 'NONE', 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00508440', 'committee_type': 'O', 'committee_type_full': 'Super PAC (Independent Expenditure-Only)', 'cycle': 2024, 'cycles': [2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2011-12-29', 'first_file_date': '2011-12-29', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2020-07-13', 'last_file_date': '2024-09-04', 'name': 'HUMAN RIGHTS CAMPAIGN EQUALITY VOTES', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1640 RHODE ISLAND AVE NW', 'street_2': None, 'treasurer_name': 'RINEFIERD, JAMES M.', 'zip': '200363231'}",C00508440,2024-03-04,ORG,15,,Signage,1807700,Rinefierd,James,M.,,,"{'amended_by': 1810367, 'amendment_chain': [1807700], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202408029666057233', 'committee_id': 'C00508440', 'committee_name': 'HUMAN RIGHTS CAMPAIGN EQUALITY VOTES', 'coverage_end_date': None, 'coverage_start_date': None, 'csv_url': 'https://docquery.fec.gov/csv/700/1807700.csv', 'ending_image_number': '202408029666057238', 'fec_file_id': 'FEC-1807700', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1807700.fec', 'file_number': 1807700, 'filed_date': '2024-08-02', 'form_type': 'F24N', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00508440/1807700/', 'is_amended': True, 'load_timestamp': '2024-08-02T16:15:32', 'most_recent': False, 'most_recent_filing': 1810367, 'pdf_url': 'https://docquery.fec.gov/pdf/233/202408029666057233/202408029666057233.pdf', 'receipt_date': '2024-08-02T16:15:27'}",F24,202408029666057234,True,24,2024-08-02T16:15:32,,,False,,15.2,Washington,,Human Rights Campaign,,"Human Rights Campaign,",,DC,1640 Rhode Island Ave NW,,,200363200,https://docquery.fec.gov/cgi-bin/fecimg/?202408029666057234,5,F24N,S,500663850
A,,,Will,H2CA42205,,Rollins,H,41,CA,DEM,,,,"{'affiliated_committee_name': 'NONE', 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00508440', 'committee_type': 'O', 'committee_type_full': 'Super PAC (Independent Expenditure-Only)', 'cycle': 2024, 'cycles': [2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2011-12-29', 'first_file_date': '2011-12-29', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2020-07-13', 'last_file_date': '2024-09-04', 'name': 'HUMAN RIGHTS CAMPAIGN EQUALITY VOTES', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1640 RHODE ISLAND AVE NW', 'street_2': None, 'treasurer_name': 'RINEFIERD, JAMES M.', 'zip': '200363231'}",C00508440,2024-03-25,ORG,125,,Signage,1807700,Rinefierd,James,M.,,,"{'amended_by': 1810367, 'amendment_chain': [1807700], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202408029666057233', 'committee_id': 'C00508440', 'committee_name': 'HUMAN RIGHTS CAMPAIGN EQUALITY VOTES', 'coverage_end_date': None, 'coverage_start_date': None, 'csv_url': 'https://docquery.fec.gov/csv/700/1807700.csv', 'ending_image_number': '202408029666057238', 'fec_file_id': 'FEC-1807700', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1807700.fec', 'file_number': 1807700, 'filed_date': '2024-08-02', 'form_type': 'F24N', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00508440/1807700/', 'is_amended': True, 'load_timestamp': '2024-08-02T16:15:32', 'most_recent': False, 'most_recent_filing': 1810367, 'pdf_url': 'https://docquery.fec.gov/pdf/233/202408029666057233/202408029666057233.pdf', 'receipt_date': '2024-08-02T16:15:27'}",F24,202408029666057235,True,24,2024-08-02T16:15:32,,,False,,125.77,Washington,,Human Rights Campaign,,"Human Rights Campaign,",,DC,1640 Rhode Island Ave NW,,,200363200,https://docquery.fec.gov/cgi-bin/fecimg/?202408029666057235,7,F24N,S,500676140
A,,,COLIN,S4TX00722,,ALLRED,S,00,TX,DEM,,,,"{'affiliated_committee_name': 'NONE', 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00508440', 'committee_type': 'O', 'committee_type_full': 'Super PAC (Independent Expenditure-Only)', 'cycle': 2024, 'cycles': [2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2011-12-29', 'first_file_date': '2011-12-29', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2020-07-13', 'last_file_date': '2024-09-04', 'name': 'HUMAN RIGHTS CAMPAIGN EQUALITY VOTES', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1640 RHODE ISLAND AVE NW', 'street_2': None, 'treasurer_name': 'RINEFIERD, JAMES M.', 'zip': '200363231'}",C00508440,2024-03-04,ORG,15,,Signage,1807700,Rinefierd,James,M.,,,"{'amended_by': 1810367, 'amendment_chain': [1807700], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202408029666057233', 'committee_id': 'C00508440', 'committee_name': 'HUMAN RIGHTS CAMPAIGN EQUALITY VOTES', 'coverage_end_date': None, 'coverage_start_date': None, 'csv_url': 'https://docquery.fec.gov/csv/700/1807700.csv', 'ending_image_number': '202408029666057238', 'fec_file_id': 'FEC-1807700', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1807700.fec', 'file_number': 1807700, 'filed_date': '2024-08-02', 'form_type': 'F24N', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00508440/1807700/', 'is_amended': True, 'load_timestamp': '2024-08-02T16:15:32', 'most_recent': False, 'most_recent_filing': 1810367, 'pdf_url': 'https://docquery.fec.gov/pdf/233/202408029666057233/202408029666057233.pdf', 'receipt_date': '2024-08-02T16:15:27'}",F24,202408029666057235,True,24,2024-08-02T16:15:32,,,False,,15.2,Washington,,Human Rights Campaign,,"Human Rights Campaign,",,DC,1640 Rhode Island Ave NW,,,200363200,https://docquery.fec.gov/cgi-bin/fecimg/?202408029666057235,6,F24N,S,500663851
A,,,Rudy,H2CA21233,,Salas,H,22,CA,DEM,,,,"{'affiliated_committee_name': 'MINNESOTA SECOND DISTRICT VICTORY COMMITTEE', 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00495028', 'committee_type': 'W', 'committee_type_full': 'Hybrid PAC (with Non-Contribution Account) - Qualified', 'cycle': 2024, 'cycles': [2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2011-04-08', 'first_file_date': '2011-04-08', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-08-20', 'last_file_date': '2024-09-12', 'name': 'HMP', 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1032 15TH STREET NW', 'street_2': 'SUITE 247', 'treasurer_name': 'WOLFF, BRIAN', 'zip': '20005'}",C00495028,2024-09-10,ORG,37188,,Digital Advertising - Estimate,1815285,Wolff,Brian,,,,"{'amended_by': None, 'amendment_chain': [1815285], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202409129675430059', 'committee_id': 'C00495028', 'committee_name': 'HMP', 'coverage_end_date': None, 'coverage_start_date': None, 'csv_url': 'https://docquery.fec.gov/csv/285/1815285.csv', 'ending_image_number': '202409129675430098', 'fec_file_id': 'FEC-1815285', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1815285.fec', 'file_number': 1815285, 'filed_date': '2024-09-12', 'form_type': 'F24N', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00495028/1815285/', 'is_amended': False, 'load_timestamp': '2024-09-12T22:16:46', 'most_recent': True, 'most_recent_filing': 1815285, 'pdf_url': 'https://docquery.fec.gov/pdf/059/202409129675430059/202409129675430059.pdf', 'receipt_date': '2024-09-12T22:16:43'}",F24,202409129675430061,True,24,2024-09-12T22:16:46,,,True,,420674.25,San Francisco,,50+1 Strategies LLC,,"50+1 Strategies LLC,",,CA,PO Box 358,,,941040358,https://docquery.fec.gov/cgi-bin/fecimg/?202409129675430061,6,F24N,S,500528249
