candidate_id,cycle,support_oppose_indicator,total
H0AL05197,,S,391.62
H0AR02206,,S,8.68
H0AZ07017,,O,518.11
H0AZ08056,,O,23232.05
H0CA05016,,,280.0
H0CA08101,,S,8.68
H0CA09125,,O,8.68
H0CA13127,,O,8.68
H0CA15148,,,73976.0
H0CA15262,,O,8.68
H0CA16120,,O,8.68
H0CA20064,,,45.0
H0CA20098,,O,13106.65
H0CA24116,,S,85.08
H0CA24157,,O,8.68
H0CA25154,,S,0.25
H0CA28182,,O,8.68
H0CA30113,,S,400100.0
H0CA31020,,,25.0
H0CA31129,,O,8.68
H0CA34131,,O,8.68
H0CA34131,,S,12414.79
H0CA36177,,S,24.85
H0CA36193,,O,8.68
H0CA37167,,O,8.68
H0CA40138,,O,8.68
H0CA41078,,,25.0
H0CA42142,,,588.0
H0CA42209,,O,5459.7
H0CA45012,,,24.0
H0CA46077,,O,8.68
H0CA48131,,S,370.57
H0CA48156,,O,8.68
H0CA49089,,S,4.87
H0CO02225,,O,8.68
H0CO02233,,O,8.68
H0CO03058,,,70.0
H0CO05129,,S,8.68
H0CO06101,,O,8.68
H0CO06119,,O,8.68
H0CO07026,,O,16493.36
H0CT01126,,O,8.68
H0CT02124,,S,12751.9
H0CT02207,,O,8.68
H0CT03155,,O,8.68
H0CT04195,,O,8.68
H0CT05176,,O,12859.41
H0CT05200,,O,8.68
H0FL02060,,,1108.0
H0FL07143,,O,8.68
H0FL08042,,O,4197.49
H0FL08042,,S,2532.36
H0FL08075,,,11050.0
H0FL16094,,S,8.68
H0FL18207,,S,8.68
H0FL19015,,,418.0
H0FL22035,,,2.0
H0FL23041,,S,441.92
H0GA02035,,,25.0
H0GA02217,,O,3782.64
H0GA04080,,S,28.87
H0GA04148,,O,8.68
H0GA05277,,O,8.68
H0GA07232,,O,38.9
H0HI01298,,O,8.68
H0IA02156,,S,8.68
H0IA03139,,O,10605.88
H0ID01071,,,115.0
H0ID01139,,S,6691.9
H0IL02010,,,25.0
H0IL02127,,O,8.68
H0IL04081,,O,8.68
H0IL06060,,O,8.68
H0IL10120,,,18951.0
H0IL10351,,O,8.68
H0IL11110,,O,8.68
H0IL14080,,S,100.0
H0IL16101,,,1293.0
H0IL16184,,S,8.68
H0IL17059,,S,13610.18
H0IN03198,,S,13288.25
H0IN04121,,,141.0
H0IN05219,,S,8.68
H0IN09070,,S,20000.0
H0KS02196,,S,8.68
H0KS03079,,,455.0
H0KY03051,,,601.0
H0KY03119,,,5868.0
H0LA02119,,,21.0
H0LA02192,,S,115831.75
H0LA03141,,S,-849.0
H0LA05120,,S,1770.71
H0MA04051,,,102.0
H0MA04184,,S,8.68
H0MA05017,,,20.0
H0MA05132,,O,8.68
H0MA06148,,O,8.68
H0MA10066,,O,15673.85
H0MD02057,,,25.0
H0MD07031,,,6474.0
