action_code,action_code_full,aggregate_general_election_expenditure,back_reference_schedule_name,back_reference_transaction_id,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_district,candidate_office_full,candidate_office_state,candidate_office_state_full,candidate_prefix,candidate_suffix,catolog_code,catolog_code_full,committee,committee_designated_coordinated_expenditure_indicator,committee_id,committee_name,conduit_committee_city,conduit_committee_id,conduit_committee_name,conduit_committee_state,conduit_committee_street1,conduit_committee_street2,conduit_committee_zip,designated_committee_id,designated_committee_name,election_cycle,entity_type,entity_type_desc,expenditure_amount,expenditure_date,expenditure_purpose_full,expenditure_type,expenditure_type_full,file_number,filing_form,form_line_number,image_number,line_number,link_id,load_date,memo_code,memo_code_full,memo_text,original_sub_id,payee_first_name,payee_last_name,payee_middle_name,payee_name,pdf_url,report_type,report_year,schedule_type,schedule_type_full,sub_id,subordinate_committee,subordinate_committee_id,transaction_id,unlimited_spending_flag,unlimited_spending_flag_full
A,ADD,,,,ARLAN,H6MN07148,0,,"STANGELAND, ARLAN",H,07,HOUSE,MN,MINNESOTA,,,,,"{'affiliated_committee_name': 'REPUBLICAN NATIONAL CMTE-CONTRIBUTIONS', 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00003418', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 1978, 'cycles': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1975-09-19', 'first_file_date': '1975-05-10', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-04-24', 'last_file_date': '2024-08-20', 'name': 'REPUBLICAN NATIONAL COMMITTEE - EXPENDITURES (AKA REPUBLICAN NATIONAL COMMITTEE)', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '310 FIRST STREET S.E.', 'street_2': None, 'treasurer_name': 'WILLIAM J. MCMANUS', 'zip': '20003'}",,C00003418,REPUBLICAN NATIONAL COMMITTEE - EXPENDITURES (AKA REPUBLICAN NATIONAL COMMITTEE),,,,,,,,,,1978,,,8265,1977-01-24T00:00:00,COORDINATED EXPENDITURE,24C,COORDINATED EXPENDITURE,,F3X,F3X-25,77030581000,25,3032920021022510636,2020-01-10T03:37:39.071000,,,,,,,,,,M2,1977,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,3062020110012906087,,,,,
N,NO CHANGE,,,,MICHAEL J.,H6MN07015,0,,"SULLIVAN, MICHAEL J.",H,07,HOUSE,MN,MINNESOTA,,,,,"{'affiliated_committee_name': 'MINNESOTA DEMOCRATIC PARTY', 'candidate_ids': [], 'city': 'MINNEAPOLIS', 'committee_id': 'C00025254', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 1978, 'cycles': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'Q', 'first_f1_date': '1975-11-17', 'first_file_date': '1975-10-14', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-07-23', 'last_file_date': '2024-08-14', 'name': 'MINNESOTA DOLLARS FOR DEMOCRATS', 'organization_type': None, 'organization_type_full': None, 'party': 'DFL', 'party_full': 'DEMOCRATIC-FARM-LABOR', 'state': 'MN', 'state_full': 'Minnesota', 'street_1': '730 E. 38TH ST.', 'street_2': None, 'treasurer_name': 'RAYMOND H. BONN', 'zip': '55405'}",,C00025254,MINNESOTA DOLLARS FOR DEMOCRATS,,,,,,,,,,1978,,,5000,1977-01-24T00:00:00,COORDINATED EXPENDITURE,24C,COORDINATED EXPENDITURE,,F3X,F3X-25,77030472573,25,3032920021022517951,2020-01-10T03:38:27.268000,,,,,,,,,,10S,1977,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,3062020110012910083,,,,,
N,NO CHANGE,,,,MICHAEL J.,H6MN07015,0,,"SULLIVAN, MICHAEL J.",H,07,HOUSE,MN,MINNESOTA,,,,,"{'affiliated_committee_name': '1978 NATL PARTY CONF ARRANGEMENTS', 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00010603', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 1978, 'cycles': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'Q', 'first_f1_date': '1976-07-29', 'first_file_date': '1975-03-10', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-07-21', 'last_file_date': '2024-08-20', 'name': 'DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1625 MASSACHUSETTS AVE., N.W.', 'street_2': None, 'treasurer_name': 'PETER G KELLY', 'zip': '20036'}",,C00010603,DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,,,,,,,,,,1978,,,324,1977-02-11T00:00:00,COORDINATED EXPENDITURE,24C,COORDINATED EXPENDITURE,,F3X,F3X-25,77030501140,25,3032920021022513968,2020-01-10T03:38:21.268000,,,,,,,,,,30S,1977,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,3062020110012902613,,,,,
N,NO CHANGE,,,,MICHAEL J.,H6MN07015,0,,"SULLIVAN, MICHAEL J.",H,07,HOUSE,MN,MINNESOTA,,,,,"{'affiliated_committee_name': '1978 NATL PARTY CONF ARRANGEMENTS', 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00010603', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 1978, 'cycles': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'Q', 'first_f1_date': '1976-07-29', 'first_file_date': '1975-03-10', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-07-21', 'last_file_date': '2024-08-20', 'name': 'DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1625 MASSACHUSETTS AVE., N.W.', 'street_2': None, 'treasurer_name': 'PETER G KELLY', 'zip': '20036'}",,C00010603,DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,,,,,,,,,,1978,,,852,1977-02-17T00:00:00,COORDINATED EXPENDITURE,24C,COORDINATED EXPENDITURE,,F3X,F3X-25,77030501140,25,3032920021022513968,2020-01-10T03:37:54.267000,,,,,,,,,,30S,1977,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,3062020110012920468,,,,,
N,NO CHANGE,,,,JOHN E. (JACK),H6WA07136,0,,"CUNNINGHAM, JOHN E. (JACK)",H,07,HOUSE,WA,WASHINGTON,,,,,"{'affiliated_committee_name': 'REPUBLICAN NATIONAL CMTE-CONTRIBUTIONS', 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00003418', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 1978, 'cycles': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1975-09-19', 'first_file_date': '1975-05-10', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-04-24', 'last_file_date': '2024-08-20', 'name': 'REPUBLICAN NATIONAL COMMITTEE - EXPENDITURES (AKA REPUBLICAN NATIONAL COMMITTEE)', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '310 FIRST STREET S.E.', 'street_2': None, 'treasurer_name': 'WILLIAM J. MCMANUS', 'zip': '20003'}",,C00003418,REPUBLICAN NATIONAL COMMITTEE - EXPENDITURES (AKA REPUBLICAN NATIONAL COMMITTEE),,,,,,,,,,1978,,,2175,1977-03-29T00:00:00,COORDINATED EXPENDITURE,24C,COORDINATED EXPENDITURE,,F3X,F3X-25,77030581004,25,3032920021022510636,2020-01-10T03:38:01.077000,,,,,,,,,,M4,1977,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,3062020110012895809,,,,,
N,NO CHANGE,,,,MICHAEL J.,H6MN07015,0,,"SULLIVAN, MICHAEL J.",H,07,HOUSE,MN,MINNESOTA,,,,,"{'affiliated_committee_name': '1978 NATL PARTY CONF ARRANGEMENTS', 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00010603', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 1978, 'cycles': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'Q', 'first_f1_date': '1976-07-29', 'first_file_date': '1975-03-10', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-07-21', 'last_file_date': '2024-08-20', 'name': 'DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE', 'organization_type': None, 'organization_type_full': None, 'party': 'DEM', 'party_full': 'DEMOCRATIC PARTY', 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1625 MASSACHUSETTS AVE., N.W.', 'street_2': None, 'treasurer_name': 'PETER G KELLY', 'zip': '20036'}",,C00010603,DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,,,,,,,,,,1978,,,225,1977-03-30T00:00:00,COORDINATED EXPENDITURE,24C,COORDINATED EXPENDITURE,,F3X,F3X-25,77030511045,25,3032920021022513963,2020-01-10T03:38:01.122000,,,,,,,,,,Q1,1977,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,3062020110012920466,,,,,
A,ADD,,,,JOHN E. (JACK),H6WA07136,0,,"CUNNINGHAM, JOHN E. (JACK)",H,07,HOUSE,WA,WASHINGTON,,,,,"{'affiliated_committee_name': 'REPUBLICAN NATIONAL CMTE-CONTRIBUTIONS', 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00003418', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 1978, 'cycles': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1975-09-19', 'first_file_date': '1975-05-10', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-04-24', 'last_file_date': '2024-08-20', 'name': 'REPUBLICAN NATIONAL COMMITTEE - EXPENDITURES (AKA REPUBLICAN NATIONAL COMMITTEE)', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '310 FIRST STREET S.E.', 'street_2': None, 'treasurer_name': 'WILLIAM J. MCMANUS', 'zip': '20003'}",,C00003418,REPUBLICAN NATIONAL COMMITTEE - EXPENDITURES (AKA REPUBLICAN NATIONAL COMMITTEE),,,,,,,,,,1978,,,4232,1977-04-27T00:00:00,COORDINATED EXPENDITURE,24C,COORDINATED EXPENDITURE,,F3X,F3X-25,77030581004,25,3032920021022510636,2020-01-10T03:37:31.282000,,,,,,,,,,M5,1977,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,3062020110012925572,,,,,
N,NO CHANGE,,,,MARVIN B.,H6WA07110,0,,"DURNING, MARVIN B.",H,07,HOUSE,WA,WASHINGTON,,,,,,,C00031013,WASHINGTON STATE DEMOCRATIC COMMITTEE/ FEDERAL,,,,,,,,,,1978,,,1475,1977-04-28T00:00:00,COORDINATED EXPENDITURE,24C,COORDINATED EXPENDITURE,,F3X,F3X-25,77030531604,25,3032920021022519065,2020-01-10T03:37:32.681000,,,,,,,,,,10S,1977,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,3062020110012890194,,,,,
N,NO CHANGE,,,,MARVIN B.,H6WA07110,0,,"DURNING, MARVIN B.",H,07,HOUSE,WA,WASHINGTON,,,,,,,C00031013,WASHINGTON STATE DEMOCRATIC COMMITTEE/ FEDERAL,,,,,,,,,,1978,,,2015,1977-04-28T00:00:00,COORDINATED EXPENDITURE,24C,COORDINATED EXPENDITURE,,F3X,F3X-25,77030531604,25,3032920021022519065,2020-01-10T03:37:19.785000,,,,,,,,,,10S,1977,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,3062020110012920424,,,,,
N,NO CHANGE,,,,JOHN E. (JACK),H6WA07136,0,,"CUNNINGHAM, JOHN E. (JACK)",H,07,HOUSE,WA,WASHINGTON,,,,,"{'affiliated_committee_name': 'WASHINGTON REPUBLICAN PARTY', 'candidate_ids': [], 'city': 'SEATTLE', 'committee_id': 'C00031088', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 1978, 'cycles': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'Q', 'first_f1_date': '1975-10-28', 'first_file_date': '1975-10-10', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-07-19', 'last_file_date': '2024-08-20', 'name': 'WASHINGTON STATE REPUBLICAN FEDERAL CAMPAIGN COMMITTEE', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'WA', 'state_full': 'Washington', 'street_1': '1509 QUEEN ANNE AVENUE NORTH', 'street_2': None, 'treasurer_name': 'BERNARD J. SIGLER', 'zip': '98109'}",,C00031088,WASHINGTON STATE REPUBLICAN FEDERAL CAMPAIGN COMMITTEE,,,,,,,,,,1978,,,525,1977-04-29T00:00:00,COORDINATED EXPENDITURE,24C,COORDINATED EXPENDITURE,,F3X,F3X-25,77030531627,25,3032920021022519130,2020-01-10T03:37:55.701000,,,,,,,,,,10S,1977,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,3062020110012899215,,,,,
