activity_or_event,administrative_activity_indicator,administrative_voter_drive_activity_indicator,committee,committee_id,cycle,direct_candidate_support_activity_indicator,disbursement_amount,disbursement_purpose,event_amount_year_to_date,event_purpose_date,exempt_activity_indicator,federal_share,file_number,filing_form,form_line_number,fundraising_activity_indicator,general_voter_drive_activity_indicator,image_number,line_number,link_id,memo_code,memo_text,nonfederal_share,original_sub_id,payee_city,payee_name,payee_state,payee_street_1,payee_street_2,payee_zip,pdf_url,public_comm_indicator,report_type,report_year,schedule_type,schedule_type_full,spender_committee_designation,spender_committee_name,spender_committee_type,sub_id,transaction_id
,,,"{'affiliated_committee_name': ""EMILY'S LIST WOMEN VOTE"", 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00193433', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2010, 'cycles': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1984-12-31', 'first_file_date': '1984-12-31', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-02-07', 'last_file_date': '2024-08-17', 'name': ""EMILY'S LIST"", 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1120 CONNECTICUT AVENUE NW', 'street_2': 'STE 1100', 'treasurer_name': 'COOPER, RANNY MS.', 'zip': '20036'}",C00193433,2010,,14.95,TRAVEL/ACCOMMODATION /MEALS,,,,7.47,493419.0,F3X,F3X-21A,X,,10931272856,21A,4091620101129625168,X,MEMO ENTRY,7.5,,NEW YORK,NYC TAXI,NY,NYC,,10019,https://docquery.fec.gov/cgi-bin/fecimg/?10931272856,,M9,2010,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,U,EMILY'S LIST,Q,4091720101129648637,H4-145477-40000
,X,,"{'affiliated_committee_name': ""EMILY'S LIST WOMEN VOTE"", 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00193433', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2010, 'cycles': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1984-12-31', 'first_file_date': '1984-12-31', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-02-07', 'last_file_date': '2024-08-17', 'name': ""EMILY'S LIST"", 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1120 CONNECTICUT AVENUE NW', 'street_2': 'STE 1100', 'treasurer_name': 'COOPER, RANNY MS.', 'zip': '20036'}",C00193433,2010,,61.5,EMPLOYEE TRAINING/ PLANNING,,,,30.75,408127.0,F3X,F3X-21A,,,29991764436,21A,4031820091111270253,X,MEMO ENTRY,30.8,,WASHINGTON,FEMINISM2,DC,GEORGE WASHINGTON UNIVERSITY,,20052,https://docquery.fec.gov/cgi-bin/fecimg/?29991764436,,M3,2009,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,U,EMILY'S LIST,Q,4032020091112107276,H4-127081-10000
,X,,"{'affiliated_committee_name': ""EMILY'S LIST WOMEN VOTE"", 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00193433', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2010, 'cycles': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1984-12-31', 'first_file_date': '1984-12-31', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-02-07', 'last_file_date': '2024-08-17', 'name': ""EMILY'S LIST"", 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1120 CONNECTICUT AVENUE NW', 'street_2': 'STE 1100', 'treasurer_name': 'COOPER, RANNY MS.', 'zip': '20036'}",C00193433,2010,,152.25,COMPUTER SERVICES,,,,76.12,408127.0,F3X,F3X-21A,,,29991764435,21A,4031820091111270253,X,MEMO ENTRY,76.1,,WASHINGTON,BEST BUY,DC,3100 14TH ST NW,,20010,https://docquery.fec.gov/cgi-bin/fecimg/?29991764435,,M3,2009,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,U,EMILY'S LIST,Q,4032020091112107274,H4-127080-20000
,X,,"{'affiliated_committee_name': ""EMILY'S LIST WOMEN VOTE"", 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00193433', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2010, 'cycles': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1984-12-31', 'first_file_date': '1984-12-31', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-02-07', 'last_file_date': '2024-08-17', 'name': ""EMILY'S LIST"", 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1120 CONNECTICUT AVENUE NW', 'street_2': 'STE 1100', 'treasurer_name': 'COOPER, RANNY MS.', 'zip': '20036'}",C00193433,2010,,186.5,COMPUTER SERVICES,,,,93.25,408127.0,F3X,F3X-21A,,,29991764435,21A,4031820091111270253,X,MEMO ENTRY,93.3,,NEW YORK,B&H PHOTO-VIDEO.COM,NY,420 9TH AVENUE,,10001,https://docquery.fec.gov/cgi-bin/fecimg/?29991764435,,M3,2009,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,U,EMILY'S LIST,Q,4032020091112107273,H4-127080-10000
,,,"{'affiliated_committee_name': ""EMILY'S LIST WOMEN VOTE"", 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00193433', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2010, 'cycles': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1984-12-31', 'first_file_date': '1984-12-31', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-02-07', 'last_file_date': '2024-08-17', 'name': ""EMILY'S LIST"", 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1120 CONNECTICUT AVENUE NW', 'street_2': 'STE 1100', 'treasurer_name': 'COOPER, RANNY MS.', 'zip': '20036'}",C00193433,2010,,85.0,POSTAGE,,,,42.5,408127.0,F3X,F3X-21A,X,,29991764432,21A,4031820091111270253,X,MEMO ENTRY,42.5,,KANSAS CITY,USPS POSTAL STORE,MO,8300 NE UNDERGROUND DRIVE,PILLAR 210,64144,https://docquery.fec.gov/cgi-bin/fecimg/?29991764432,,M3,2009,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,U,EMILY'S LIST,Q,4032020091112107264,H4-127036-10000
,,,"{'affiliated_committee_name': ""EMILY'S LIST WOMEN VOTE"", 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00193433', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2010, 'cycles': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1984-12-31', 'first_file_date': '1984-12-31', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-02-07', 'last_file_date': '2024-08-17', 'name': ""EMILY'S LIST"", 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1120 CONNECTICUT AVENUE NW', 'street_2': 'STE 1100', 'treasurer_name': 'COOPER, RANNY MS.', 'zip': '20036'}",C00193433,2010,,214.67,OFFICE SUPPLIES EXPENSES,,,,107.33,408127.0,F3X,F3X-21A,X,,29991764431,21A,4031820091111270253,X,MEMO ENTRY,107.3,,WASHINGTON,STAPLES,DC,1901 L STREET NW,,20036,https://docquery.fec.gov/cgi-bin/fecimg/?29991764431,,M3,2009,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,U,EMILY'S LIST,Q,4032020091112107262,H4-127035-10000
,X,,"{'affiliated_committee_name': ""EMILY'S LIST WOMEN VOTE"", 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00193433', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2010, 'cycles': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1984-12-31', 'first_file_date': '1984-12-31', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-02-07', 'last_file_date': '2024-08-17', 'name': ""EMILY'S LIST"", 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1120 CONNECTICUT AVENUE NW', 'street_2': 'STE 1100', 'treasurer_name': 'COOPER, RANNY MS.', 'zip': '20036'}",C00193433,2010,,8.84,COPYING/FAXING,,,,4.42,408127.0,F3X,F3X-21A,,,29991764425,21A,4031820091111270253,X,MEMO ENTRY,4.4,,WASHINGTON,LOGICLINK *HILTON WA,DC,1919 CONNECTICUT AVE NW,,20009,https://docquery.fec.gov/cgi-bin/fecimg/?29991764425,,M3,2009,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,U,EMILY'S LIST,Q,4032020091112107245,H4-126982-10000
,X,,"{'affiliated_committee_name': ""EMILY'S LIST WOMEN VOTE"", 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00193433', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2010, 'cycles': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1984-12-31', 'first_file_date': '1984-12-31', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-02-07', 'last_file_date': '2024-08-17', 'name': ""EMILY'S LIST"", 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1120 CONNECTICUT AVENUE NW', 'street_2': 'STE 1100', 'treasurer_name': 'COOPER, RANNY MS.', 'zip': '20036'}",C00193433,2010,,12.67,TELEPHONE,,,,6.33,408127.0,F3X,F3X-21A,,,29991764425,21A,4031820091111270253,X,MEMO ENTRY,6.3,,BELLEVUE,PHONE SVC,WA,11201 SE 8TH STREET,,98004,https://docquery.fec.gov/cgi-bin/fecimg/?29991764425,,M3,2009,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,U,EMILY'S LIST,Q,4032020091112107243,H4-126981-10000
,X,,"{'affiliated_committee_name': ""EMILY'S LIST WOMEN VOTE"", 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00193433', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2010, 'cycles': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1984-12-31', 'first_file_date': '1984-12-31', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-02-07', 'last_file_date': '2024-08-17', 'name': ""EMILY'S LIST"", 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1120 CONNECTICUT AVENUE NW', 'street_2': 'STE 1100', 'treasurer_name': 'COOPER, RANNY MS.', 'zip': '20036'}",C00193433,2010,,51.4,INTERNET SERVICES,,,,25.7,408127.0,F3X,F3X-21A,,,29991764413,21A,4031820091111270253,X,MEMO ENTRY,25.7,,WORCESTER,VERIZON,MA,PO BOX 1,,01654,https://docquery.fec.gov/cgi-bin/fecimg/?29991764413,,M3,2009,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,U,EMILY'S LIST,Q,4032020091112107209,H4-126969-10000
,X,,"{'affiliated_committee_name': ""EMILY'S LIST WOMEN VOTE"", 'candidate_ids': [], 'city': 'WASHINGTON', 'committee_id': 'C00193433', 'committee_type': 'Q', 'committee_type_full': 'PAC - Qualified', 'cycle': 2010, 'cycles': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1984-12-31', 'first_file_date': '1984-12-31', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-02-07', 'last_file_date': '2024-08-17', 'name': ""EMILY'S LIST"", 'organization_type': None, 'organization_type_full': None, 'party': None, 'party_full': None, 'state': 'DC', 'state_full': 'District Of Columbia', 'street_1': '1120 CONNECTICUT AVENUE NW', 'street_2': 'STE 1100', 'treasurer_name': 'COOPER, RANNY MS.', 'zip': '20036'}",C00193433,2010,,53.6,PUBLICATION & DUES,,,,26.8,408127.0,F3X,F3X-21A,,,29991764412,21A,4031820091111270253,X,MEMO ENTRY,26.8,,NEW YORK,NEW YORK TIMES,NY,229 WEST 43RD STREET,,10036,https://docquery.fec.gov/cgi-bin/fecimg/?29991764412,,M3,2009,H4,JOINT FEDERAL/NON-FEDERAL ACTIVITY,U,EMILY'S LIST,Q,4032020091112107205,H4-126967-10000
