activity_or_event,administrative_voter_drive_activity_indicator,amendment_indicator,back_reference_schedule_name,back_reference_transaction_id,committee,committee_id,direct_candidate_support_activity_indicator,disbursement_amount,disbursement_purpose,entity_type,event_amount_year_to_date,event_purpose_date,exempt_activity_indicator,fed_share,file_number,filing,fundraising_activity_indicator,general_voter_drive_activity_indicator,image_number,load_timestamp,memo_code,memo_text,nonfed_share,payee_city,payee_name,payee_state,payee_zip,pdf_url,public_comm_indicator,related_line_number,report_type,transaction_id
Administrative,X,A,,,"{'affiliated_committee_name': 'PROTECT THE HOUSE 2024', 'candidate_ids': [], 'city': 'LAKE OSWEGO', 'committee_id': 'C00153031', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 2024, 'cycles': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1982-03-26', 'first_file_date': '1982-03-26', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-04-02', 'last_file_date': '2024-09-13', 'name': 'OREGON REPUBLICAN PARTY', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'OR', 'state_full': 'Oregon', 'street_1': 'PO BOX 1586', 'street_2': None, 'treasurer_name': 'BISHOP, BRIAN MR.', 'zip': '97035'}",C00153031,,1400.0,RENT,ORG,31855.08,2024-08-31,,392.0,1815424,"{'amended_by': None, 'amendment_chain': [1815424], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202409139675433890', 'committee_id': 'C00153031', 'committee_name': 'OREGON REPUBLICAN PARTY', 'coverage_end_date': '2024-08-31', 'coverage_start_date': '2024-08-01', 'csv_url': 'https://docquery.fec.gov/csv/424/1815424.csv', 'document_description': 'SEPTEMBER MONTHLY 2024', 'ending_image_number': '202409139675433935', 'fec_file_id': 'FEC-1815424', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1815424.fec', 'file_number': 1815424, 'filed_date': '2024-09-13', 'form_type': 'F3XN', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00153031/1815424/', 'is_amended': False, 'load_timestamp': '2024-09-13T14:55:15', 'most_recent': True, 'most_recent_filing': 1815424, 'pdf_url': 'https://docquery.fec.gov/pdf/890/202409139675433890/202409139675433890.pdf', 'receipt_date': '2024-09-13T14:55:11'}",,,202409139675433935,2024-09-13T14:55:19,,,1008.00,SALEM,"CINJOE, LLC",OR,97301,https://docquery.fec.gov/cgi-bin/fecimg/?202409139675433935,,112,F3XN,H4.12073
2024 ADMIN,X,A,,,"{'affiliated_committee_name': 'NONE', 'candidate_ids': [], 'city': 'SAN DIEGO', 'committee_id': 'C00252551', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 2024, 'cycles': [1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1991-07-01', 'first_file_date': '1991-07-01', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-05-07', 'last_file_date': '2024-09-10', 'name': 'REPUBLICAN PARTY OF SAN DIEGO COUNTY', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '3435 CAMINO DEL RIO SOUTH STE 114', 'street_2': None, 'treasurer_name': 'SPILLANE, ELIZABETH', 'zip': '92108'}",C00252551,,2975.61,SALARY - <25% FEA ACTIVITY,IND,181259.26,2024-08-30,,1071.22,1815524,"{'amended_by': None, 'amendment_chain': [1815524], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202409149675461588', 'committee_id': 'C00252551', 'committee_name': 'REPUBLICAN PARTY OF SAN DIEGO COUNTY', 'coverage_end_date': '2024-08-31', 'coverage_start_date': '2024-08-01', 'csv_url': 'https://docquery.fec.gov/csv/524/1815524.csv', 'document_description': 'SEPTEMBER MONTHLY 2024', 'ending_image_number': '202409149675461669', 'fec_file_id': 'FEC-1815524', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1815524.fec', 'file_number': 1815524, 'filed_date': '2024-09-14', 'form_type': 'F3XN', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00252551/1815524/', 'is_amended': False, 'load_timestamp': '2024-09-14T01:23:01', 'most_recent': True, 'most_recent_filing': 1815524, 'pdf_url': 'https://docquery.fec.gov/pdf/588/202409149675461588/202409149675461588.pdf', 'receipt_date': '2024-09-14T01:22:56'}",,,202409149675461662,2024-09-14T01:23:03,,,1904.39,SAN DIEGO,SIROTNAK,CA,92108,https://docquery.fec.gov/cgi-bin/fecimg/?202409149675461662,,204,F3XN,H4-270601
Admin 2023-2024,X,A,,,"{'affiliated_committee_name': 'CALIFORNIA REPUBLICAN PARTY (FED)', 'candidate_ids': [], 'city': 'SALINAS', 'committee_id': 'C00389981', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 2024, 'cycles': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2003-09-02', 'first_file_date': '2003-09-02', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2023-03-24', 'last_file_date': '2024-09-09', 'name': 'MONTEREY COUNTY REPUBLICAN CENTRAL COMMITTEE (FED.)', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '414 MAIN STREET', 'street_2': None, 'treasurer_name': 'WILTSCHKO, WILLIAM', 'zip': '93901'}",C00389981,,150.0,Compliance and Accounting,ORG,24708.0,2024-08-30,,54.0,1814542,"{'amended_by': None, 'amendment_chain': [1814542], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202409099675395201', 'committee_id': 'C00389981', 'committee_name': 'MONTEREY COUNTY REPUBLICAN CENTRAL COMMITTEE (FED.)', 'coverage_end_date': '2024-08-31', 'coverage_start_date': '2024-08-01', 'csv_url': 'https://docquery.fec.gov/csv/542/1814542.csv', 'document_description': 'SEPTEMBER MONTHLY 2024', 'ending_image_number': '202409099675395237', 'fec_file_id': 'FEC-1814542', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1814542.fec', 'file_number': 1814542, 'filed_date': '2024-09-09', 'form_type': 'F3XN', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00389981/1814542/', 'is_amended': False, 'load_timestamp': '2024-09-09T15:48:50', 'most_recent': True, 'most_recent_filing': 1814542, 'pdf_url': 'https://docquery.fec.gov/pdf/201/202409099675395201/202409099675395201.pdf', 'receipt_date': '2024-09-09T15:48:47'}",,,202409099675395237,2024-09-09T15:49:01,,,96.00,San Rafael,"Political Communications, Inc.",CA,94903,https://docquery.fec.gov/cgi-bin/fecimg/?202409099675395237,,92,F3XN,H4-24772
2024 ADMIN,X,A,,,"{'affiliated_committee_name': 'NONE', 'candidate_ids': [], 'city': 'SAN DIEGO', 'committee_id': 'C00252551', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 2024, 'cycles': [1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1991-07-01', 'first_file_date': '1991-07-01', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-05-07', 'last_file_date': '2024-09-10', 'name': 'REPUBLICAN PARTY OF SAN DIEGO COUNTY', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '3435 CAMINO DEL RIO SOUTH STE 114', 'street_2': None, 'treasurer_name': 'SPILLANE, ELIZABETH', 'zip': '92108'}",C00252551,,921.3,PAYROLL TAXES - <25% FEA ACTIVITY,ORG,181259.26,2024-08-30,,331.67,1815524,"{'amended_by': None, 'amendment_chain': [1815524], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202409149675461588', 'committee_id': 'C00252551', 'committee_name': 'REPUBLICAN PARTY OF SAN DIEGO COUNTY', 'coverage_end_date': '2024-08-31', 'coverage_start_date': '2024-08-01', 'csv_url': 'https://docquery.fec.gov/csv/524/1815524.csv', 'document_description': 'SEPTEMBER MONTHLY 2024', 'ending_image_number': '202409149675461669', 'fec_file_id': 'FEC-1815524', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1815524.fec', 'file_number': 1815524, 'filed_date': '2024-09-14', 'form_type': 'F3XN', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00252551/1815524/', 'is_amended': False, 'load_timestamp': '2024-09-14T01:23:01', 'most_recent': True, 'most_recent_filing': 1815524, 'pdf_url': 'https://docquery.fec.gov/pdf/588/202409149675461588/202409149675461588.pdf', 'receipt_date': '2024-09-14T01:22:56'}",,,202409149675461666,2024-09-14T01:23:03,,,589.63,SAN DIEGO,US TREASURY,CA,92101,https://docquery.fec.gov/cgi-bin/fecimg/?202409149675461666,,215,F3XN,H4-270602
2024 ADMIN,X,A,,,"{'affiliated_committee_name': 'NONE', 'candidate_ids': [], 'city': 'SAN DIEGO', 'committee_id': 'C00252551', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 2024, 'cycles': [1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1991-07-01', 'first_file_date': '1991-07-01', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-05-07', 'last_file_date': '2024-09-10', 'name': 'REPUBLICAN PARTY OF SAN DIEGO COUNTY', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '3435 CAMINO DEL RIO SOUTH STE 114', 'street_2': None, 'treasurer_name': 'SPILLANE, ELIZABETH', 'zip': '92108'}",C00252551,,139.97,PAYROLL TAXES - <25% FEA ACTIVITY,ORG,181259.26,2024-08-30,,50.39,1815524,"{'amended_by': None, 'amendment_chain': [1815524], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202409149675461588', 'committee_id': 'C00252551', 'committee_name': 'REPUBLICAN PARTY OF SAN DIEGO COUNTY', 'coverage_end_date': '2024-08-31', 'coverage_start_date': '2024-08-01', 'csv_url': 'https://docquery.fec.gov/csv/524/1815524.csv', 'document_description': 'SEPTEMBER MONTHLY 2024', 'ending_image_number': '202409149675461669', 'fec_file_id': 'FEC-1815524', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1815524.fec', 'file_number': 1815524, 'filed_date': '2024-09-14', 'form_type': 'F3XN', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00252551/1815524/', 'is_amended': False, 'load_timestamp': '2024-09-14T01:23:01', 'most_recent': True, 'most_recent_filing': 1815524, 'pdf_url': 'https://docquery.fec.gov/pdf/588/202409149675461588/202409149675461588.pdf', 'receipt_date': '2024-09-14T01:22:56'}",,,202409149675461650,2024-09-14T01:23:02,,,89.58,SAN DIEGO,EMPLOYMENT DEVELOPMENT DEPARTMENT,CA,92113,https://docquery.fec.gov/cgi-bin/fecimg/?202409149675461650,,166,F3XN,H4-270603
Admin 2023-2024,X,A,,,"{'affiliated_committee_name': 'CALIFORNIA REPUBLICAN PARTY (FEDERAL)', 'candidate_ids': [], 'city': 'SAN LEANDRO', 'committee_id': 'C00404020', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 2024, 'cycles': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '2004-07-26', 'first_file_date': '2004-07-26', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2023-07-07', 'last_file_date': '2024-09-04', 'name': 'ALAMEDA COUNTY REPUBLICAN PARTY (FED)', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'CA', 'state_full': 'California', 'street_1': '1039 MACARTHUR BOULEVARD', 'street_2': None, 'treasurer_name': 'JAIN, UTKARSH', 'zip': '945773005'}",C00404020,,14.8,Credit Card Fees,ORG,12246.86,2024-08-30,,5.33,1813855,"{'amended_by': None, 'amendment_chain': [1813855], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202409049675346363', 'committee_id': 'C00404020', 'committee_name': 'ALAMEDA COUNTY REPUBLICAN PARTY (FED)', 'coverage_end_date': '2024-08-31', 'coverage_start_date': '2024-08-01', 'csv_url': 'https://docquery.fec.gov/csv/855/1813855.csv', 'document_description': 'SEPTEMBER MONTHLY 2024', 'ending_image_number': '202409049675346376', 'fec_file_id': 'FEC-1813855', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1813855.fec', 'file_number': 1813855, 'filed_date': '2024-09-04', 'form_type': 'F3XN', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00404020/1813855/', 'is_amended': False, 'load_timestamp': '2024-09-04T11:36:44', 'most_recent': True, 'most_recent_filing': 1813855, 'pdf_url': 'https://docquery.fec.gov/pdf/363/202409049675346363/202409049675346363.pdf', 'receipt_date': '2024-09-04T11:36:38'}",,,202409049675346373,2024-09-04T11:36:44,,,9.47,New Orleans,Anedot,LA,70112,https://docquery.fec.gov/cgi-bin/fecimg/?202409049675346373,,15,F3XN,H4-10942
Administrative,X,A,,,"{'affiliated_committee_name': 'NRSC VICTORY', 'candidate_ids': [], 'city': 'HOOVER', 'committee_id': 'C00044776', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 2024, 'cycles': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1976-03-01', 'first_file_date': '1976-03-01', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-08-08', 'last_file_date': '2024-09-05', 'name': 'ALABAMA REPUBLICAN PARTY', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'AL', 'state_full': 'Alabama', 'street_1': '3505 LORNA ROAD', 'street_2': None, 'treasurer_name': 'BRYANT, SALLIE MRS.', 'zip': '35216'}",C00044776,,668.82,FOSTER REIMBURSEMENT: SEE MEMO ENTRIES,IND,216254.73,2024-08-30,,187.27,1814066,"{'amended_by': None, 'amendment_chain': [1814066], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202409059675356331', 'committee_id': 'C00044776', 'committee_name': 'ALABAMA REPUBLICAN PARTY', 'coverage_end_date': '2024-08-31', 'coverage_start_date': '2024-08-01', 'csv_url': 'https://docquery.fec.gov/csv/066/1814066.csv', 'document_description': 'SEPTEMBER MONTHLY 2024', 'ending_image_number': '202409059675356406', 'fec_file_id': 'FEC-1814066', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1814066.fec', 'file_number': 1814066, 'filed_date': '2024-09-05', 'form_type': 'F3XN', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00044776/1814066/', 'is_amended': False, 'load_timestamp': '2024-09-05T14:18:17', 'most_recent': True, 'most_recent_filing': 1814066, 'pdf_url': 'https://docquery.fec.gov/pdf/331/202409059675356331/202409059675356331.pdf', 'receipt_date': '2024-09-05T14:18:12'}",,,202409059675356405,2024-09-05T14:18:35,,,481.55,BIRMINGHAM,FOSTER,AL,35216,https://docquery.fec.gov/cgi-bin/fecimg/?202409059675356405,,203,F3XN,H4.24934
Administrative,X,A,,,"{'affiliated_committee_name': 'NRSC VICTORY', 'candidate_ids': [], 'city': 'HOOVER', 'committee_id': 'C00044776', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 2024, 'cycles': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1976-03-01', 'first_file_date': '1976-03-01', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-08-08', 'last_file_date': '2024-09-05', 'name': 'ALABAMA REPUBLICAN PARTY', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'AL', 'state_full': 'Alabama', 'street_1': '3505 LORNA ROAD', 'street_2': None, 'treasurer_name': 'BRYANT, SALLIE MRS.', 'zip': '35216'}",C00044776,,30.48,DELIVERY SERVICES,ORG,215585.91,2024-08-30,,8.53,1814066,"{'amended_by': None, 'amendment_chain': [1814066], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202409059675356331', 'committee_id': 'C00044776', 'committee_name': 'ALABAMA REPUBLICAN PARTY', 'coverage_end_date': '2024-08-31', 'coverage_start_date': '2024-08-01', 'csv_url': 'https://docquery.fec.gov/csv/066/1814066.csv', 'document_description': 'SEPTEMBER MONTHLY 2024', 'ending_image_number': '202409059675356406', 'fec_file_id': 'FEC-1814066', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1814066.fec', 'file_number': 1814066, 'filed_date': '2024-09-05', 'form_type': 'F3XN', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00044776/1814066/', 'is_amended': False, 'load_timestamp': '2024-09-05T14:18:17', 'most_recent': True, 'most_recent_filing': 1814066, 'pdf_url': 'https://docquery.fec.gov/pdf/331/202409059675356331/202409059675356331.pdf', 'receipt_date': '2024-09-05T14:18:12'}",,,202409059675356405,2024-09-05T14:18:35,,,21.95,BEVERLY,RED CURVE SOLUTIONS,MA,01915,https://docquery.fec.gov/cgi-bin/fecimg/?202409059675356405,,202,F3XN,H4.24933
Administrative,X,A,,,"{'affiliated_committee_name': 'NRSC VICTORY', 'candidate_ids': [], 'city': 'HOOVER', 'committee_id': 'C00044776', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 2024, 'cycles': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1976-03-01', 'first_file_date': '1976-03-01', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-08-08', 'last_file_date': '2024-09-05', 'name': 'ALABAMA REPUBLICAN PARTY', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'AL', 'state_full': 'Alabama', 'street_1': '3505 LORNA ROAD', 'street_2': None, 'treasurer_name': 'BRYANT, SALLIE MRS.', 'zip': '35216'}",C00044776,,329.22,TELEPHONE,ORG,215555.43,2024-08-30,,92.18,1814066,"{'amended_by': None, 'amendment_chain': [1814066], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202409059675356331', 'committee_id': 'C00044776', 'committee_name': 'ALABAMA REPUBLICAN PARTY', 'coverage_end_date': '2024-08-31', 'coverage_start_date': '2024-08-01', 'csv_url': 'https://docquery.fec.gov/csv/066/1814066.csv', 'document_description': 'SEPTEMBER MONTHLY 2024', 'ending_image_number': '202409059675356406', 'fec_file_id': 'FEC-1814066', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1814066.fec', 'file_number': 1814066, 'filed_date': '2024-09-05', 'form_type': 'F3XN', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00044776/1814066/', 'is_amended': False, 'load_timestamp': '2024-09-05T14:18:17', 'most_recent': True, 'most_recent_filing': 1814066, 'pdf_url': 'https://docquery.fec.gov/pdf/331/202409059675356331/202409059675356331.pdf', 'receipt_date': '2024-09-05T14:18:12'}",,,202409059675356405,2024-09-05T14:18:35,,,237.04,CHICAGO,MOMENTUM TELECOM INC DIRECT,IL,60673,https://docquery.fec.gov/cgi-bin/fecimg/?202409059675356405,,201,F3XN,H4.24932
Administrative,X,A,,,"{'affiliated_committee_name': 'NRSC VICTORY', 'candidate_ids': [], 'city': 'HOOVER', 'committee_id': 'C00044776', 'committee_type': 'Y', 'committee_type_full': 'Party - Qualified', 'cycle': 2024, 'cycles': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_activity': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'cycles_has_financial': [1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024], 'designation': 'U', 'designation_full': 'Unauthorized', 'filing_frequency': 'M', 'first_f1_date': '1976-03-01', 'first_file_date': '1976-03-01', 'is_active': True, 'last_cycle_has_activity': 2024, 'last_cycle_has_financial': 2024, 'last_f1_date': '2024-08-08', 'last_file_date': '2024-09-05', 'name': 'ALABAMA REPUBLICAN PARTY', 'organization_type': None, 'organization_type_full': None, 'party': 'REP', 'party_full': 'REPUBLICAN PARTY', 'state': 'AL', 'state_full': 'Alabama', 'street_1': '3505 LORNA ROAD', 'street_2': None, 'treasurer_name': 'BRYANT, SALLIE MRS.', 'zip': '35216'}",C00044776,,300.0,POSTAGE,ORG,216554.73,2024-08-30,,84.0,1814066,"{'amended_by': None, 'amendment_chain': [1814066], 'amendment_number': 0, 'amends_file': None, 'beginning_image_number': '202409059675356331', 'committee_id': 'C00044776', 'committee_name': 'ALABAMA REPUBLICAN PARTY', 'coverage_end_date': '2024-08-31', 'coverage_start_date': '2024-08-01', 'csv_url': 'https://docquery.fec.gov/csv/066/1814066.csv', 'document_description': 'SEPTEMBER MONTHLY 2024', 'ending_image_number': '202409059675356406', 'fec_file_id': 'FEC-1814066', 'fec_url': 'https://docquery.fec.gov/dcdev/posted/1814066.fec', 'file_number': 1814066, 'filed_date': '2024-09-05', 'form_type': 'F3XN', 'html_url': 'https://docquery.fec.gov/cgi-bin/forms/C00044776/1814066/', 'is_amended': False, 'load_timestamp': '2024-09-05T14:18:17', 'most_recent': True, 'most_recent_filing': 1814066, 'pdf_url': 'https://docquery.fec.gov/pdf/331/202409059675356331/202409059675356331.pdf', 'receipt_date': '2024-09-05T14:18:12'}",,,202409059675356406,2024-09-05T14:18:35,,,216.00,LOUISVILLE,PITNEY BOWES,KY,40285,https://docquery.fec.gov/cgi-bin/fecimg/?202409059675356406,,204,F3XN,H4.24983
